fish_id,treatment,exposure,battery,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
1BT01hCTR02,0,1h,BT1,-4.242074934647928,-2.4546458159634286,0.9803904640822809,0.10315514118706592,1.0860156895283541,-0.8250766994079142,0.26117535659861973,-0.27280995820964593,-0.6680354167396432,-1.274603172065379,0.32881369700188817,0.4540113355077614,-0.06340470468719275
1BT01hCTR04,0,1h,BT1,0.4426646434578769,0.879844313030246,1.1467902298384243,0.3682368981326689,-0.5294781469431785,-0.8794764517746534,0.9080283512190866,0.09785446507169941,-1.5648064117019067,0.6965728894580396,-0.9267015908256963,-0.5803334293461592,-0.20455988076530318
1BT01hCTR05,0,1h,BT1,1.1825799484175972,-0.12208352623131748,0.4970708742827186,-0.4962851385972401,0.4405182568462046,-7.989771996329623e-5,0.2455239795713329,-1.0217311220891685,-0.6474784270890463,-0.06640468206969273,-0.5003451370552154,-0.8510884478909433,-0.002518907775228372
1BT01hCTR07,0,1h,BT1,-3.431874060763264,2.2001684375090473,-1.48835288961422,0.9965128533268259,0.8168475000917954,1.902534952054518,0.3656622633792024,0.7768072309670175,-0.03968990983077082,-1.7062382478983336,-0.13905274098463546,-0.09584845941591086,-0.461990249666418
1BT01hCTR08,0,1h,BT1,-0.8640043414475223,0.6930721611524713,0.4497277893856969,-0.31518702823907,-0.8531203809372147,-0.07909403249998546,0.8015488726071841,-0.7497413586956376,0.28712456875365877,0.8334280354396693,-0.37472285928056703,-0.10657294162895517,-0.16639672536325334
1BT01hCTR09,0,1h,BT1,-2.622036488330971,1.489916829409607,0.4559619569307762,0.2706831214492818,1.1212075053532178,-0.6552786006932755,-0.7037637630784933,0.7153154326488572,0.05711006303824939,0.22098602260337413,0.9032985639457307,-0.4322056397151906,-0.30194837999903323
1BT01hCTR10,0,1h,BT1,0.4271890335826828,1.1622888885340645,-1.6978097595786537,-0.5064242112091921,-1.30711200570769,-0.3695671886793811,0.33171014741894284,-2.0019066195853763,0.5618928858800616,-0.1713045203537193,0.5510335048077466,-0.34215196188666475,-0.0273555941271219
1BT01hCTR11,0,1h,BT1,1.6739807725072353,0.7996592512607318,-1.2456125645065006,0.9537520651682305,0.2075056905294691,-0.7353651374636678,0.6603952481178295,-1.1771023150282522,0.5342126037607342,0.22690737608401676,1.2349818258615608,-0.4938772801262446,0.08460217128439147
1BT01hCTR12,0,1h,BT1,-3.8659366935585036,0.8357134241835786,1.2952028052808464,-0.3023587222407047,-0.7677537977074643,0.5379531813549251,0.8901789327908697,-0.04208811044508629,0.1569162330797379,-1.2114991091833607,0.6730739054585865,-1.3852338251629523,0.17556072083015162
1BT01hCTR13,0,1h,BT1,0.4463387958609359,0.3429431751045438,0.1336391840167727,-0.5420860338893225,-0.3759725160306531,-0.14652764029224427,0.3883679496703761,-0.3194415014461352,-0.40829898298118605,0.6243604227157403,0.18270406989572777,-0.5171211775287391,-0.058525979704630006
1BT01hCTR14,0,1h,BT1,0.4269844448972084,0.06159854048479126,0.30967564081965837,-0.9815782532319135,0.12157650994090265,-0.33928991989249546,0.6133705182102663,0.45898156282020025,-0.5776797245743425,0.754333503254923,0.014056753397175105,-0.44706079896358647,-0.015816689004493817
1BT01h00501,0.5,1h,BT1,-0.30112856124598836,1.6737175728705467,1.3919412199988794,1.6184908825013562,0.12340437729526438,1.0556500084083857,-0.7376693416589009,-0.5234084805609971,1.023833723763519,0.7973900891417897,-0.5148383526202405,0.10198639756132336,-0.1654187144588367
1BT01h00502,0.5,1h,BT1,0.8649995739170254,1.2739423962577532,1.1564695868291601,-0.6055725381906489,-0.03897000210349747,-0.5347129120191582,-0.5496596658991342,1.0402533220455443,0.033100446209879425,-0.628586789828971,-1.453474779252505,0.012239549951693589,0.007589652852551254
1BT01h00503,0.5,1h,BT1,0.48016713177823367,1.0170835005685577,0.18142728892307777,0.10465778337584819,0.8227623552555264,1.1341711779258339,-0.9528882488482884,0.5674730182771518,0.2468992522204662,0.4508117194606028,-0.17996371899018573,0.02844992115212431,-7.874480817611634e-4
