"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","1h",14,16,-1.9375,-2,-0.838762910260323,-0.482142857142857,-0.482142857142857,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","24h",15,15,-2.2,-2,-0.738766083204183,-0.502222222222222,-0.502222222222222,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0","96h",16,16,-0.9375,-1,-0.358275351541285,-0.21484375,-0.21484375,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","1h",16,16,-2.6875,-2.5,-1.29942579805477,-0.6796875,-0.6796875,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","24h",15,14,-2.40952380952381,-3,-1.22523490872661,-0.752380952380952,-0.752380952380952,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","0.5","96h",16,16,-2.5,-4,-0.973492789755121,-0.55859375,-0.55859375,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","1h",16,15,-3.425,-5,-1.3611877051372,-0.658333333333333,-0.658333333333333,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","24h",14,12,-0.535714285714286,0,-0.217453482151551,-0.0476190476190476,-0.0476190476190476,NA,NA,"tested"
"last_flux","endurance","RN","ordinal/step","count_or_discrete","BT1_vs_BT3","BT1","BT3","1","96h",14,15,-1.33333333333333,0,-0.756035744853366,-0.347619047619048,-0.347619047619048,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h",14,16,-25.1428571428571,0,-0.508294341009183,-0.165178571428571,-0.165178571428571,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h",15,16,-13.6,0,-0.435446500006773,-0.2,-0.2,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h",16,16,-7.875,0,-0.450781112773865,-0.10546875,-0.10546875,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,-54.8125,0,-0.588236372822931,-0.16796875,-0.16796875,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,-35.6,-2,-0.348231673993875,-0.244444444444444,-0.244444444444444,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,-15.4375,0,-0.180981795478959,0.1328125,0.1328125,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h",16,16,-16.1875,0,-0.179345008955292,-0.1796875,-0.1796875,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h",14,12,35.3214285714286,0,0.427272534499887,-0.0714285714285714,-0.0714285714285714,NA,NA,"tested"
"latency","LDT decision latency","LDT","continuous or censored","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h",14,16,33.4553571428571,0,0.37401965572766,0.3125,0.3125,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h",14,16,65.2678571428572,-24.5,0.585437839095029,-0.236607142857143,-0.236607142857143,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h",15,16,-47.525,-34,-0.580077782594683,-0.629166666666667,-0.629166666666667,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h",16,16,-3.1875,-32,-0.0410179035503832,-0.3125,-0.3125,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,2.25,-32.5,0.0139250135661298,-0.29296875,-0.29296875,NA,NA,"tested"
"mov_total","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,-57.1333333333333,-13,-0.680083158208376,-0.444444444444444,-0.444444444444444,NA,NA,"tested"
