"battery","treatment","exposure","variable","resolved_variable","n_total","n_nonmissing","n_missing","mean","sd","median","iqr","min","max"
"BT3","0.5","24h","num_changes","num_changes",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","num_changes","num_changes",14,14,0,27.2142857142857,11.2056206461728,28,14.75,2,43
"BT2","1","24h","num_changes","num_changes",12,12,0,29.0833333333333,21.8193339342275,24,29.5,0,66
"BT3","1","24h","num_changes","num_changes",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","num_changes","num_changes",16,16,0,15.4375,10.1058976180578,17,17.75,0,33
"BT2","0","96h","num_changes","num_changes",16,16,0,22.625,12.6273512661999,20.5,11.75,2,54
"BT3","0","96h","num_changes","num_changes",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","num_changes","num_changes",16,16,0,27.4375,13.2109487421103,32,15.75,1,47
"BT2","0.5","96h","num_changes","num_changes",16,16,0,23.75,16.956807875698,23,28.25,0,50
"BT3","0.5","96h","num_changes","num_changes",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","num_changes","num_changes",14,14,0,12.5714285714286,11.6929583393286,10,17.25,0,36
"BT2","1","96h","num_changes","num_changes",16,15,1,10.0666666666667,10.9574936306925,8,13.5,0,32
"BT3","1","96h","num_changes","num_changes",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","resistance_index","resistance_index",14,14,0,29.9761904761905,17.3701565398052,33.2666666666667,19.1875,3.85,67
"BT2","0","1h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","1h","resistance_index","resistance_index",16,16,0,16.7364583333333,12.1717283515865,16.6,12.3666666666667,1.6,51.1666666666667
"BT1","0.5","1h","resistance_index","resistance_index",16,16,0,32.7729166666667,12.9529960426722,35.375,12.8125,4.75,51.6666666666667
"BT2","0.5","1h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","1h","resistance_index","resistance_index",16,16,0,15.9541666666667,10.7379519048611,17.85,13.6458333333333,1.86666666666667,37.05
"BT1","1","1h","resistance_index","resistance_index",16,16,0,25.7447916666667,15.5499823969771,32.8666666666667,26.275,0.566666666666667,43.2
"BT2","1","1h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","1h","resistance_index","resistance_index",15,15,0,6.76555555555555,6.59737341514303,5.15,10.4333333333333,0.15,18
"BT1","0","24h","resistance_index","resistance_index",15,15,0,41.76,18.5807405835968,44.25,19.0583333333334,0.5,67.6
"BT2","0","24h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","24h","resistance_index","resistance_index",15,15,0,25.18,20.1566781639033,22.8666666666667,21.3416666666667,0.9,70.4
"BT1","0.5","24h","resistance_index","resistance_index",15,15,0,37.3477777777778,13.9506384143993,42.3,6.9,3.55,52.8333333333333
"BT2","0.5","24h","resistance_index","resistance_index",15,0,15,NA,NA,NA,NA,NA,NA
"BT3","0.5","24h","resistance_index","resistance_index",14,14,0,17.5154761904762,7.88872793220038,16.65,7.9,0.5,29.8666666666667
"BT1","1","24h","resistance_index","resistance_index",14,14,0,14.522619047619,14.8075555430311,7.4,26.0791666666667,1.3,42.15
"BT2","1","24h","resistance_index","resistance_index",12,0,12,NA,NA,NA,NA,NA,NA
"BT3","1","24h","resistance_index","resistance_index",12,12,0,9.80833333333334,7.04935522518969,8.2,11.1625,0.2,22.1666666666667
"BT1","0","96h","resistance_index","resistance_index",16,16,0,31.009375,17.2291580679812,36.0916666666667,24.5916666666667,7.73333333333333,67
"BT2","0","96h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","96h","resistance_index","resistance_index",16,16,0,24.8697916666667,15.2740499113511,26.7583333333334,26.3416666666667,1.23333333333333,44.1
"BT1","0.5","96h","resistance_index","resistance_index",16,16,0,24.8677083333333,15.2099473648857,32.2,27.4666666666666,0.35,48.3333333333333
"BT2","0.5","96h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","96h","resistance_index","resistance_index",16,16,0,10.0479166666667,8.94865782404556,8.16666666666667,15.6083333333333,0.35,27.8833333333333
"BT1","1","96h","resistance_index","resistance_index",14,14,0,13.4880952380952,8.88153618366131,9.66666666666667,7.19166666666665,5.6,30.9333333333333
"BT2","1","96h","resistance_index","resistance_index",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","96h","resistance_index","resistance_index",15,15,0,7.89222222222222,6.04538019425757,6.8,11.6833333333333,0.3,16.1
"BT1","0","1h","stratum_pref","stratum_pref",14,14,0,28.5228242761256,19.5222047057441,31.5072942039234,30.6094315252836,0,56.0538116591928
"BT2","0","1h","stratum_pref","stratum_pref",16,16,0,41.809815768055,14.1192462956988,44.5268292682927,9.54996267403887,2.48868778280543,61.9854721549637
"BT3","0","1h","stratum_pref","stratum_pref",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","stratum_pref","stratum_pref",16,16,0,34.6622282808897,23.6578749645986,39.2345154845154,36.6688913068078,0,70.2272727272727
"BT2","0.5","1h","stratum_pref","stratum_pref",16,16,0,16.3116012903729,17.1541177778735,14.5417892557481,24.9049361457885,0,52.4705882352941
"BT3","0.5","1h","stratum_pref","stratum_pref",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","stratum_pref","stratum_pref",16,16,0,35.7943913323851,29.178798016059,32.8947368421052,34.5523798929539,0,96.2962962962963
"BT2","1","1h","stratum_pref","stratum_pref",16,16,0,22.7443676985355,27.915755504298,9.76228632478632,41.1810598853802,0,90.5339805825243
"BT3","1","1h","stratum_pref","stratum_pref",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","stratum_pref","stratum_pref",15,15,0,29.7739747953029,19.1738600048832,30.0715990453461,29.8241695005845,0,54.6236559139785
"BT2","0","24h","stratum_pref","stratum_pref",16,16,0,43.0758703979572,17.6065257112715,41.4590465058028,21.5247242415026,0,77.7486910994764
"BT3","0","24h","stratum_pref","stratum_pref",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","stratum_pref","stratum_pref",15,15,0,39.6841848855398,15.8421024486687,44.7867298578199,19.3583858363762,6.11246943765281,60.7456140350877
"BT2","0.5","24h","stratum_pref","stratum_pref",15,15,0,82.913263235697,26.3253476368496,91.7675544794189,22.9658135929724,0,100
"BT3","0.5","24h","stratum_pref","stratum_pref",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","stratum_pref","stratum_pref",14,14,0,28.3881202085458,22.2429852482916,25.580403235058,33.199602719987,0,78.0748663101604
"BT2","1","24h","stratum_pref","stratum_pref",12,12,0,15.7704688557562,13.3224706936494,16.663967611336,21.7467757166343,0,36.4485981308411
"BT3","1","24h","stratum_pref","stratum_pref",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","stratum_pref","stratum_pref",16,16,0,45.7067278351994,16.0109415450184,47.2187435900204,16.1099903416962,1.96078431372549,73.8317757009346
"BT2","0","96h","stratum_pref","stratum_pref",16,16,0,44.3945210336273,13.8874375114208,44.3246147130913,23.5453276926342,17.1021377672209,61.2903225806452
"BT3","0","96h","stratum_pref","stratum_pref",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","stratum_pref","stratum_pref",16,16,0,52.9063290187862,22.5704849737319,45.9872170029262,32.325019057569,23.9904988123515,99.2481203007519
"BT2","0.5","96h","stratum_pref","stratum_pref",16,16,0,50.1622221488497,11.2709752239028,49.9890343590084,10.9056013641611,29.5871559633028,71.7557251908397
"BT3","0.5","96h","stratum_pref","stratum_pref",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","stratum_pref","stratum_pref",14,14,0,24.6087550358841,21.8237918744732,20.6252908982939,34.4064306155567,1.58730158730159,70.6030150753769
"BT2","1","96h","stratum_pref","stratum_pref",16,16,0,44.1448336360978,26.9306226687686,49.1070616218464,38.7320287346535,0,100
"BT3","1","96h","stratum_pref","stratum_pref",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","time_bright","time_bright",14,14,0,145.571428571429,128.052101346837,122,123.75,0,421
"BT2","0","1h","time_bright","time_bright",16,16,0,194.625,135.974446128675,193,187.75,3,480
"BT3","0","1h","time_bright","time_bright",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","time_bright","time_bright",16,16,0,156.3125,136.682463517941,142,145,0,491
"BT2","0.5","1h","time_bright","time_bright",16,16,0,244.1875,138.311348654645,238,153.75,0,480
"BT3","0.5","1h","time_bright","time_bright",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","time_bright","time_bright",16,16,0,176.6875,114.476034609869,159,142.75,0,360
"BT2","1","1h","time_bright","time_bright",16,16,0,272.6875,144.266290241345,297.5,250.25,0,480
"BT3","1","1h","time_bright","time_bright",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","time_bright","time_bright",15,15,0,104.666666666667,50.7735401656451,97,48,4,203
"BT2","0","24h","time_bright","time_bright",16,16,0,225.6875,140.317601057981,203.5,105,0,480
"BT3","0","24h","time_bright","time_bright",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","time_bright","time_bright",15,15,0,188.2,112.650026948193,179,96.5,10,432
"BT2","0.5","24h","time_bright","time_bright",15,15,0,277.333333333333,195.554401150994,390,343.5,0,480
"BT3","0.5","24h","time_bright","time_bright",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","time_bright","time_bright",14,14,0,261.214285714286,87.0456808201909,243.5,110.75,150,435
"BT2","1","24h","time_bright","time_bright",12,12,0,302,113.706160383204,322.5,128.75,69,412
"BT3","1","24h","time_bright","time_bright",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","time_bright","time_bright",16,16,0,166.25,135.876659756805,117.5,180.25,0,461
"BT2","0","96h","time_bright","time_bright",16,16,0,209.040625,116.126010894416,184.15,120.2125,45.3,470.8
"BT3","0","96h","time_bright","time_bright",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","time_bright","time_bright",16,16,0,269.0625,97.5127128464113,268,103,35,453
"BT2","0.5","96h","time_bright","time_bright",16,16,0,289.65,129.763933099045,282.975,185.725,73.25,474.2
"BT3","0.5","96h","time_bright","time_bright",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","time_bright","time_bright",14,14,0,367.928571428571,148.251586726864,439,87.5,83,480
"BT2","1","96h","time_bright","time_bright",16,15,1,388.75,115.8515830091,457.5,197.725,200.65,480
"BT3","1","96h","time_bright","time_bright",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","time_in_last_flux","time_in_last_flux",14,14,0,21.5714285714286,19.8095326148191,13.5,29.75,1,55
"BT2","0","1h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","1h","time_in_last_flux","time_in_last_flux",16,16,0,22.75,17.0313436541768,17.5,22.25,0,50
"BT1","0.5","1h","time_in_last_flux","time_in_last_flux",16,16,0,27,17.929491533969,28.5,28,0,59
"BT2","0.5","1h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","1h","time_in_last_flux","time_in_last_flux",16,16,0,30.5625,11.51213128255,31,9.75,7,48
"BT1","1","1h","time_in_last_flux","time_in_last_flux",16,16,0,28.625,14.903578988507,26,25.5,6,55
"BT2","1","1h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","1h","time_in_last_flux","time_in_last_flux",15,15,0,26.5333333333333,18.2634164644072,18,29.5,7,59
"BT1","0","24h","time_in_last_flux","time_in_last_flux",15,15,0,34.3333333333333,17.8592379723319,39,34,5,55
"BT2","0","24h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","24h","time_in_last_flux","time_in_last_flux",15,15,0,33.6,14.3566808738749,31,22,12,54
"BT1","0.5","24h","time_in_last_flux","time_in_last_flux",15,15,0,37.4,13.1844063737649,42,17.5,11,52
"BT2","0.5","24h","time_in_last_flux","time_in_last_flux",15,0,15,NA,NA,NA,NA,NA,NA
"BT3","0.5","24h","time_in_last_flux","time_in_last_flux",14,14,0,19.9285714285714,12.1874101856369,16.5,18.25,3,38
"BT1","1","24h","time_in_last_flux","time_in_last_flux",14,14,0,24.2142857142857,12.3237018129143,23.5,10.75,2,45
"BT2","1","24h","time_in_last_flux","time_in_last_flux",12,0,12,NA,NA,NA,NA,NA,NA
"BT3","1","24h","time_in_last_flux","time_in_last_flux",12,12,0,19.75,13.0601754129943,14.5,13.75,7,44
"BT1","0","96h","time_in_last_flux","time_in_last_flux",16,16,0,24.5,17.4126390877431,24.5,29.75,4,52
"BT2","0","96h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0","96h","time_in_last_flux","time_in_last_flux",16,16,0,23.3125,16.3777033391946,17.5,22,4,54
"BT1","0.5","96h","time_in_last_flux","time_in_last_flux",16,16,0,32.25,16.5106026540523,36.5,21,3,55
"BT2","0.5","96h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","0.5","96h","time_in_last_flux","time_in_last_flux",16,16,0,27.125,16.313082684357,22.5,24,6,59
"BT1","1","96h","time_in_last_flux","time_in_last_flux",14,14,0,29,18.3596547646442,28,24.5,2,55
"BT2","1","96h","time_in_last_flux","time_in_last_flux",16,0,16,NA,NA,NA,NA,NA,NA
"BT3","1","96h","time_in_last_flux","time_in_last_flux",15,15,0,26.8,18.0878807097854,29,28.5,1,55
"BT1","0","1h","vel_mean","vel_mean",14,14,0,10.4074369678344,3.83529366714731,10.4937473572939,3.93287003962517,3.83920704845815,19.1028037383178
"BT2","0","1h","vel_mean","vel_mean",16,16,0,14.9962388341378,4.21827833493067,15.9601580557047,5.18740685665122,5.33122171945701,20.8812195121951
"BT3","0","1h","vel_mean","vel_mean",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","1h","vel_mean","vel_mean",16,16,0,9.74257789429091,4.97791929752715,11.8652957879073,2.35878725722456,0,13.9043181818182
"BT2","0.5","1h","vel_mean","vel_mean",16,16,0,13.6371711233671,3.45441507544459,12.5901093312992,4.26074877762553,9.79751243781094,23.8235294117647
"BT3","0.5","1h","vel_mean","vel_mean",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","1h","vel_mean","vel_mean",16,16,0,15.4165139133266,5.91551398124007,16.059234219767,6.03291538797042,0,27.4828915662651
"BT2","1","1h","vel_mean","vel_mean",16,16,0,15.923592375334,6.78177037648614,12.559929245283,8.00039357891713,7.67636363636364,32.0057788944724
"BT3","1","1h","vel_mean","vel_mean",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","24h","vel_mean","vel_mean",15,15,0,12.7509516380234,4.95847093179057,11.3857727272727,5.51395120243802,7.12939784946237,26.9154975124378
"BT2","0","24h","vel_mean","vel_mean",16,16,0,15.1369822391895,3.48621607278952,15.8120767404627,4.37514528088355,7.79965217391304,20.7311518324607
"BT3","0","24h","vel_mean","vel_mean",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0.5","24h","vel_mean","vel_mean",15,15,0,11.8678726757369,2.86338463345814,11.3306487695749,3.91558889998376,7.80063679245283,18.4894724220623
"BT2","0.5","24h","vel_mean","vel_mean",15,15,0,9.71064655942121,3.38206811351981,9.95033860045147,2.60956581106964,0,14.6574712643678
"BT3","0.5","24h","vel_mean","vel_mean",14,0,14,NA,NA,NA,NA,NA,NA
"BT1","1","24h","vel_mean","vel_mean",14,14,0,12.7066626833427,2.8231536115771,12.3637791666666,4.09490486570153,7.845625,17.3248548812665
"BT2","1","24h","vel_mean","vel_mean",12,12,0,14.6059163568784,2.6529762222704,14.4825870646766,3.40025452137467,10.1432360742706,19.5046728971963
"BT3","1","24h","vel_mean","vel_mean",12,0,12,NA,NA,NA,NA,NA,NA
"BT1","0","96h","vel_mean","vel_mean",16,16,0,13.6807666002915,3.59460426054201,13.3191695641582,2.65074744615335,6.5856862745098,22.7406284153005
"BT2","0","96h","vel_mean","vel_mean",16,16,0,15.6599091326313,6.12250829421579,14.8196785900581,4.60126293730768,5.3559718969555,30.9740932642487
"BT3","0","96h","vel_mean","vel_mean",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","0.5","96h","vel_mean","vel_mean",16,16,0,11.8821464828527,2.36305333956079,12.3537422097316,2.66522116490255,6.6425641025641,16.424023255814
"BT2","0.5","96h","vel_mean","vel_mean",16,16,0,14.5225800559562,2.11481878733164,14.167106764969,2.09478973224308,11.8683602771363,19.1859838274933
"BT3","0.5","96h","vel_mean","vel_mean",16,0,16,NA,NA,NA,NA,NA,NA
"BT1","1","96h","vel_mean","vel_mean",14,14,0,11.4264914552506,2.92567309851026,10.5308016161865,3.51504210064134,6.17580796252927,16.5951507537688
"BT2","1","96h","vel_mean","vel_mean",16,16,0,10.1716412751663,3.67369946182458,10.0987885638461,3.25910843020943,0,17.5944584382872
"BT3","1","96h","vel_mean","vel_mean",15,0,15,NA,NA,NA,NA,NA,NA
"BT1","0","1h","weight","wt",14,14,0,0.420714285714286,0.082784640503518,0.435,0.1325,0.29,0.55
"BT2","0","1h","weight","wt",16,15,1,0.212666666666667,0.0376955220278534,0.22,0.055,0.15,0.29
"BT3","0","1h","weight","wt",16,16,0,0.293125,0.0611793810582182,0.285,0.0825,0.18,0.38
"BT1","0.5","1h","weight","wt",16,16,0,0.414375,0.104496810158652,0.395,0.1325,0.28,0.63
"BT2","0.5","1h","weight","wt",16,16,0,0.266875,0.066705197198819,0.255,0.0825,0.18,0.4
"BT3","0.5","1h","weight","wt",16,16,0,0.3675,0.121792172709634,0.32,0.1575,0.18,0.62
"BT1","1","1h","weight","wt",16,16,0,0.465625,0.124095057650711,0.5,0.1925,0.28,0.7
"BT2","1","1h","weight","wt",16,16,0,0.255,0.0709929573971954,0.235,0.055,0.16,0.44
"BT3","1","1h","weight","wt",15,15,0,0.325333333333333,0.129055174616278,0.31,0.08,0.11,0.58
"BT1","0","24h","weight","wt",15,15,0,0.403333333333333,0.110496714021385,0.38,0.0600000000000001,0.29,0.7
"BT2","0","24h","weight","wt",16,16,0,0.195,0.047187568984497,0.19,0.0525,0.13,0.32
"BT3","0","24h","weight","wt",15,15,0,0.328666666666667,0.101971050980635,0.33,0.195,0.21,0.49
"BT1","0.5","24h","weight","wt",15,15,0,0.430666666666667,0.128977665102289,0.4,0.165,0.28,0.69
"BT2","0.5","24h","weight","wt",15,15,0,0.231333333333333,0.100133244562766,0.19,0.1,0.14,0.46
"BT3","0.5","24h","weight","wt",14,14,0,0.260714285714286,0.088183749219307,0.26,0.135,0.14,0.42
"BT1","1","24h","weight","wt",14,14,0,0.198571428571429,0.0210702644491246,0.2,0.02,0.16,0.24
"BT2","1","24h","weight","wt",12,12,0,0.356666666666667,0.0831573900212814,0.37,0.1325,0.23,0.49
"BT3","1","24h","weight","wt",12,12,0,0.330833333333333,0.124057049437553,0.3,0.085,0.24,0.7
"BT1","0","96h","weight","wt",16,16,0,0.290625,0.0598296191976293,0.28,0.055,0.22,0.47
"BT2","0","96h","weight","wt",16,16,0,0.23,0.0758067719050658,0.24,0.07,0.11,0.41
"BT3","0","96h","weight","wt",16,16,0,0.25625,0.118370886060157,0.225,0.1325,0.1,0.57
"BT1","0.5","96h","weight","wt",16,16,0,0.233125,0.0460027173110459,0.225,0.0675,0.18,0.34
"BT2","0.5","96h","weight","wt",16,16,0,0.235,0.053166405433005,0.23,0.055,0.16,0.36
"BT3","0.5","96h","weight","wt",16,16,0,0.20125,0.0683983430598529,0.2,0.1275,0.1,0.3
"BT1","1","96h","weight","wt",14,14,0,0.270714285714286,0.08879226280519,0.245,0.1275,0.17,0.44
"BT2","1","96h","weight","wt",16,15,1,0.206666666666667,0.0563999324552112,0.2,0.06,0.13,0.36
"BT3","1","96h","weight","wt",15,15,0,0.288666666666667,0.114758545692788,0.27,0.18,0.16,0.56
