endpoint,original_mean,original_sd,scaled_mean,scaled_sd
dist_total,4982.6833636363635,2039.7244191101577,3.9409763331509464e-17,1
mov_total,384.8272727272727,105.55496494964729,1.163841750246258e-16,0.9999999999999999
vel_mean,12.487515044294877,4.29630780747778,9.414817410528671e-17,1
stratum_pref,36.82441374118953,23.45459128204417,-5.790822367078942e-17,1
time_bright,205.47272727272727,132.8702691488446,1.7299924119514158e-17,0.9999999999999999
first_choice_binary,0.6818181818181818,0.4679021732190244,8.074349270001139e-17,1
latency,26.10909090909091,76.69088979238423,-2.2914120096311824e-17,1
mtpc,28.81409762644236,80.33190610485707,-2.947452887818775e-17,0.9999999999999999
num_changes,23.154545454545456,16.600091943835327,-9.343851450147802e-17,1
resistance_index,28.649393939393935,16.648991687068897,1.0690627676042523e-16,1
attempts,1.2545454545454546,0.7095206242693393,-1.261617073437678e-16,1
blood_sugar,181.15454545454546,85.93043766189004,-1.681104750355706e-17,1
condition_factor,1.6229671787020665,0.239915687117575,4.3580984780562784e-16,1
