component,component_number,variance_explained,cumulative_variance,top_loading_endpoints,top_loading_domains,loading_based_label,interpretation_rule
PC1,1,0.22127843160835953,0.22127843160835953,"dist_total, mov_total, vel_mean, stratum_pref, num_changes, resistance_index","NTT locomotion, NTT spatial position, LDT transition behavior, Endurance",locomotor_output_structure,Label assigned after checking loadings; mixed components remain mixed.
PC2,2,0.1574453630892792,0.3787237946976387,"time_bright, mtpc, first_choice_binary, attempts, resistance_index, condition_factor","LDT phototaxis, LDT transition behavior, LDT first choice, Endurance, Biometry / condition",mixed_cross_domain_structure,Label assigned after checking loadings; mixed components remain mixed.
PC3,3,0.10492082324512413,0.48364461794276287,"latency, num_changes, mtpc, blood_sugar, resistance_index, stratum_pref","LDT decision latency, LDT transition behavior, Physiology, Endurance, NTT spatial position",mixed_cross_domain_structure,Label assigned after checking loadings; mixed components remain mixed.
