endpoint,component,loading,abs_loading,domain,pca_role
time_bright,PC13,0.04668908809954185,0.04668908809954185,LDT phototaxis,fixed_full_battery_endpoint
num_changes,PC13,-0.023724804609915495,0.023724804609915495,LDT transition behavior,fixed_full_battery_endpoint
blood_sugar,PC13,-0.014930796296116884,0.014930796296116884,Physiology,conditional_supportive_physiology
first_choice_binary,PC13,-0.014617830190403958,0.014617830190403958,LDT first choice,fixed_full_battery_endpoint
mtpc,PC13,-0.012908704756526692,0.012908704756526692,LDT transition behavior,fixed_full_battery_endpoint
resistance_index,PC13,-0.009952404474411612,0.009952404474411612,Endurance,fixed_full_battery_endpoint
stratum_pref,PC13,-0.008787654549026691,0.008787654549026691,NTT spatial position,fixed_full_battery_endpoint
attempts,PC13,0.008375626673052979,0.008375626673052979,Endurance,fixed_full_battery_endpoint
latency,PC13,0.0039014559384391648,0.0039014559384391648,LDT decision latency,fixed_full_battery_endpoint
time_bright,PC2,-0.561190704523242,0.561190704523242,LDT phototaxis,fixed_full_battery_endpoint
mtpc,PC2,-0.449895713334435,0.449895713334435,LDT transition behavior,fixed_full_battery_endpoint
first_choice_binary,PC2,-0.42335514957080134,0.42335514957080134,LDT first choice,fixed_full_battery_endpoint
attempts,PC2,-0.38091038137313493,0.38091038137313493,Endurance,fixed_full_battery_endpoint
resistance_index,PC2,0.28662079258955203,0.28662079258955203,Endurance,fixed_full_battery_endpoint
condition_factor,PC2,0.17879943996764183,0.17879943996764183,Biometry / condition,conditional_condition_factor
num_changes,PC2,0.11291975113919749,0.11291975113919749,LDT transition behavior,fixed_full_battery_endpoint
stratum_pref,PC2,-0.10483442634236385,0.10483442634236385,NTT spatial position,fixed_full_battery_endpoint
vel_mean,PC2,-0.10035528170928515,0.10035528170928515,NTT locomotion,fixed_full_battery_endpoint
latency,PC2,0.09071099238407869,0.09071099238407869,LDT decision latency,fixed_full_battery_endpoint
dist_total,PC2,-0.03521774032313619,0.03521774032313619,NTT locomotion,fixed_full_battery_endpoint
blood_sugar,PC2,-0.030320295213064733,0.030320295213064733,Physiology,conditional_supportive_physiology
mov_total,PC2,-0.003926462945031111,0.003926462945031111,NTT locomotion,fixed_full_battery_endpoint
latency,PC3,-0.5391754411594156,0.5391754411594156,LDT decision latency,fixed_full_battery_endpoint
num_changes,PC3,0.5228179084828899,0.5228179084828899,LDT transition behavior,fixed_full_battery_endpoint
mtpc,PC3,-0.3159720731837173,0.3159720731837173,LDT transition behavior,fixed_full_battery_endpoint
blood_sugar,PC3,0.31489533192209024,0.31489533192209024,Physiology,conditional_supportive_physiology
resistance_index,PC3,-0.2663716124383466,0.2663716124383466,Endurance,fixed_full_battery_endpoint
stratum_pref,PC3,-0.20707737969704434,0.20707737969704434,NTT spatial position,fixed_full_battery_endpoint
time_bright,PC3,0.20297460913472792,0.20297460913472792,LDT phototaxis,fixed_full_battery_endpoint
vel_mean,PC3,-0.1834090250483193,0.1834090250483193,NTT locomotion,fixed_full_battery_endpoint
condition_factor,PC3,0.16490737470091926,0.16490737470091926,Biometry / condition,conditional_condition_factor
dist_total,PC3,-0.1304092982920593,0.1304092982920593,NTT locomotion,fixed_full_battery_endpoint
attempts,PC3,0.061526560506200575,0.061526560506200575,Endurance,fixed_full_battery_endpoint
mov_total,PC3,-0.015305613806604529,0.015305613806604529,NTT locomotion,fixed_full_battery_endpoint
first_choice_binary,PC3,0.007785295788867671,0.007785295788867671,LDT first choice,fixed_full_battery_endpoint
condition_factor,PC4,0.7113922346721425,0.7113922346721425,Biometry / condition,conditional_condition_factor
blood_sugar,PC4,0.3570262047189753,0.3570262047189753,Physiology,conditional_supportive_physiology
mtpc,PC4,0.2930216976630527,0.2930216976630527,LDT transition behavior,fixed_full_battery_endpoint
vel_mean,PC4,0.2594555014079815,0.2594555014079815,NTT locomotion,fixed_full_battery_endpoint
stratum_pref,PC4,-0.2332809800136112,0.2332809800136112,NTT spatial position,fixed_full_battery_endpoint
resistance_index,PC4,0.2096255424378246,0.2096255424378246,Endurance,fixed_full_battery_endpoint
mov_total,PC4,-0.2024207109843241,0.2024207109843241,NTT locomotion,fixed_full_battery_endpoint
dist_total,PC4,0.17251972913480415,0.17251972913480415,NTT locomotion,fixed_full_battery_endpoint
time_bright,PC4,0.14804300389048033,0.14804300389048033,LDT phototaxis,fixed_full_battery_endpoint
num_changes,PC4,-0.09348211219990543,0.09348211219990543,LDT transition behavior,fixed_full_battery_endpoint
first_choice_binary,PC4,-0.07789299626882945,0.07789299626882945,LDT first choice,fixed_full_battery_endpoint
latency,PC4,0.07531672457498657,0.07531672457498657,LDT decision latency,fixed_full_battery_endpoint
attempts,PC4,-0.0421764869875755,0.0421764869875755,Endurance,fixed_full_battery_endpoint
resistance_index,PC5,-0.5680253301181051,0.5680253301181051,Endurance,fixed_full_battery_endpoint
attempts,PC5,0.5472250265565681,0.5472250265565681,Endurance,fixed_full_battery_endpoint
time_bright,PC5,-0.2732368055902231,0.2732368055902231,LDT phototaxis,fixed_full_battery_endpoint
latency,PC5,0.25444231916727517,0.25444231916727517,LDT decision latency,fixed_full_battery_endpoint
vel_mean,PC5,0.25349248810518427,0.25349248810518427,NTT locomotion,fixed_full_battery_endpoint
first_choice_binary,PC5,-0.24865331892594666,0.24865331892594666,LDT first choice,fixed_full_battery_endpoint
