treatment,exposure,PC1_n,PC1_mean,PC1_sd,PC2_n,PC2_mean,PC2_sd,PC3_n,PC3_mean,PC3_sd
0,1h,11,-0.9478353527295138,2.1775761232881283,11,0.5353159707703942,1.1837759690991623,11,0.07606215735798183,1.0635083861407981
0,24h,12,0.3414894871263482,1.2474593640356246,12,1.1476762342714888,0.7299006736243433,12,-0.6024084052943941,0.566044319660615
0,96h,8,0.3543967937465923,1.264481053987178,8,0.06125976234506776,1.4046578814377855,8,-0.10369489584735916,1.000432478859588
0.5,1h,13,-0.5169988229507744,2.3613264139246106,13,0.7046668761255706,0.89578010781933,13,0.3309687224041302,0.765896366059058
0.5,24h,15,0.1966599297763537,0.8189243561377831,15,0.34212843028493933,0.8970394127266005,15,-0.7206530351747384,1.4372975166453168
0.5,96h,11,0.9674172850458835,0.7236091478456502,11,-0.5269551367787354,0.6380183975069063,11,0.23646336104906904,1.5022168058594563
1,1h,16,0.6412365103813265,2.491477192696203,16,0.40777297941616547,1.3495243057473207,16,0.03657480884164404,1.1885824497100708
1,24h,12,-0.06744282217103288,0.9838343574278425,12,-0.9049765866763282,0.8631845325878312,12,0.8773088771412413,0.6635869206968282
1,96h,12,-1.0689861666085867,0.7100632437579316,12,-2.025950546531321,1.832534622620186,12,0.0012481664200188376,1.3030974305848122
