fish_id,dist_total,mov_total,vel_mean,stratum_pref,time_bright,first_choice_binary,latency,mtpc,num_changes,resistance_index,attempts,blood_sugar,condition_factor
1BT01hCTR02,723.1,87,8.31149425287356,0,421,1,0,60.1428571428571,7,3.85,3,95,1.68549562682216
1BT01hCTR04,4485.2,442,10.1475113122172,40.7239819004525,151,1,0,2.90384615384615,52,34.9333333333333,1,119,2.048
1BT01hCTR05,5838.3,446,13.0903587443946,56.0538116591928,110,1,0,2.75,40,31.6,2,197,1.62962962962963
1BT01hCTR07,950.2,88,10.7977272727273,4.54545454545455,40,0,259,3.63636363636364,11,36.3,1,223,1.66666666666667
1BT01hCTR08,3264.3,439,7.43576309794989,19.5899772209567,123,1,0,5.85714285714286,21,37.5,1,187,1.6765736930346
1BT01hCTR09,2190.8,215,10.1897674418605,13.0232558139535,42,0,0,3.81818181818182,11,6.66666666666667,1,133,1.84619515961196
1BT01hCTR10,5333.4,417,12.789928057554,47.242206235012,0,1,0,0,0,67,1,163,1.44444444444444
1BT01hCTR11,8176,428,19.1028037383178,40.6542056074766,15,1,0,3,5,45.1666666666667,1,193,1.7630899175858
1BT01hCTR12,253.7,54,4.69814814814815,0,79,1,0,3.03846153846154,26,25.55,1,215,1.54883381924198
1BT01hCTR13,4951,436,11.355504587156,49.5412844036697,121,1,0,4.48148148148148,27,29.3333333333333,1,165,1.64997724169322
1BT01hCTR14,5073.2,448,11.3241071428571,46.4285714285714,149,1,19,4.38235294117647,34,15.5,1,118,1.617431640625
1BT01h00501,4307.7,435,9.90275862068965,12.6436781609195,120,0,0,4.61538461538461,26,34,1,372,1.93445607646791
1BT01h00502,5248.7,442,11.8748868778281,30.316742081448,188,0,0,3.13333333333333,60,33.3333333333333,1,136,1.55555555555556
1BT01h00503,5382.3,433,12.4302540415704,45.2655889145497,137,0,71,4.89285714285714,28,18,1,266,1.6399416909621
1BT01h00504,5087.4,425,11.9703529411765,35.5294117647059,318,1,0,5.3,60,36.75,1,186,1.88609619090574
1BT01h00505,3198,262,12.206106870229,9.9236641221374,147,1,150,9.8,15,41.7,1,136,1.92709828201238
1BT01h00506,6117.9,440,13.9043181818182,70.2272727272727,342,1,0,12.2142857142857,28,28,1,151,1.80409200869244
1BT01h00507,3782.4,358,10.5653631284916,46.6480446927374,62,0,70,5.16666666666667,12,4.75,1,113,1.42254737590814
1BT01h00508,0,0,0,0,0,0,0,0,0,10,1,73,1.50327988338192
1BT01h00510,0,0,0,0,491,1,0,163.666666666667,3,47,1,173,2.18518518518519
1BT01h00512,4551.3,442,10.2970588235294,65.3846153846154,151,0,0,4.57575757575758,33,40.05,1,200,1.72737895645989
1BT01h00513,5933.5,440,13.4852272727273,40.2272727272727,117,0,0,4.68,25,44.85,1,251,1.74549360545131
1BT01h00514,5299.5,447,11.8557046979866,54.586129753915,150,1,0,4.16666666666667,36,39.6,1,92,1.35306900651933
1BT01h00515,5509.5,400,13.77375,60.25,240,1,0,5.85365853658537,41,37.8,1,113,1.74074074074074
1BT01h01001,5284.8,324,16.3111111111111,96.2962962962963,360,1,0,90,4,29.7333333333333,1,207,1.617431640625
1BT01h01002,9109.1,440,20.7025,13.6363636363636,187,1,0,11.6875,16,0.566666666666667,5,175,1.92592592592593
1BT01h01003,5481.9,426,12.8683098591549,12.6760563380282,164,1,26,9.64705882352941,17,33.7333333333333,1,124,1.81481481481481
1BT01h01004,7251.8,448,16.1870535714286,84.375,258,0,135,6.61538461538461,39,3.8,1,191,2.18518518518519
