endpoint,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
dist_total,0.539595179393793,-0.03521774032313619,-0.1304092982920593,0.17251972913480415,0.1922012075954657,-0.13342498809596143,0.06903667344776485,0.030659854728254516,0.13556103987739035,-0.0012905784921796062,0.07243617757843422,0.01992273112336794,0.7591805545022956
mov_total,0.4642135558398419,-0.003926462945031111,-0.015305613806604529,-0.2024207109843241,0.003227264988026328,-0.029400277393931824,0.03999165929077828,-0.12737223585745233,0.19449647362652694,0.6153695386567958,-0.3841882330020301,0.2706219243896567,-0.2953620979173892
vel_mean,0.4592574303796094,-0.10035528170928515,-0.1834090250483193,0.2594555014079815,0.25349248810518427,-0.15239528731716703,0.04817704584812789,0.12832749012250338,0.12475068890273959,-0.3621739456220077,0.30858039724134684,-0.02604870623349738,-0.5737164516352184
stratum_pref,0.3408855650556667,-0.10483442634236385,-0.20707737969704434,-0.2332809800136112,-0.1439036392352225,0.2308807439927818,-0.4539749190155351,-0.0948988726600903,-0.6315516955612613,0.08983630000006851,0.20205521767593787,-0.19636924526557875,-0.008787654549026691
time_bright,0.022677180629201515,-0.561190704523242,0.20297460913472792,0.14804300389048033,-0.2732368055902231,0.05970260138988211,-0.08894032571671856,0.24778444333539204,-0.1388754064876282,-0.14456171743545793,-0.026620947301184722,0.6563779679299409,0.04668908809954185
first_choice_binary,0.05285650618925001,-0.42335514957080134,0.007785295788867671,-0.07789299626882945,-0.24865331892594666,0.023202064983852164,0.7432269961177312,-0.23210454366524622,-0.14790978585267187,0.11608633788118872,0.19667881319550015,-0.2626278783627851,-0.014617830190403958
latency,-0.08414187755580378,0.09071099238407869,-0.5391754411594156,0.07531672457498657,0.25444231916727517,0.5245193746405267,0.3291472476064695,0.26851023938261304,-0.21132569746126648,-0.0600339130479489,-0.30627794435067224,0.16102094850589427,0.0039014559384391648
mtpc,-0.10961534701257164,-0.449895713334435,-0.3159720731837173,0.2930216976630527,-0.19825141424449821,-0.12535445323817307,-0.25859300414877445,0.23004998278340336,0.21584455620212326,0.14008508457179156,-0.35900637149197073,-0.4793773514961284,-0.012908704756526692
num_changes,0.31136244372497757,0.11291975113919749,0.5228179084828899,-0.09348211219990543,-0.03445314056901559,0.02482124651443418,0.14026323892319728,0.3314745915636826,-0.22418669615817027,-0.3011080201309711,-0.48951886616740636,-0.3094438435003146,-0.023724804609915495
resistance_index,0.13765520062143427,0.28662079258955203,-0.2663716124383466,0.2096255424378246,-0.5680253301181051,-0.08914406405647445,0.027354786617140914,-0.4594212398213723,-0.0026842539753162923,-0.37762090279796734,-0.28653962334001637,0.12953187148988687,-0.009952404474411612
attempts,-0.096385995334526825,-0.38091038137313493,0.061526560506200575,-0.0421764869875755,0.5472250265565681,-0.06745750889728745,-0.10392848589001259,-0.5786860469490542,-0.12854661943588616,-0.23634847768945233,-0.34315047243956054,0.01268846411727108,0.008375626673052979
blood_sugar,0.12005131624917051,-0.030320295213064733,0.31489533192209024,0.3570262047189753,-0.03775764326270291,0.7443728926420868,-0.1199090817273624,-0.24103142112067003,0.31692414109092376,0.04078576907307568,0.09656724093715643,-0.13563942127593603,-0.014930796296116884
condition_factor,-0.06496854815892926,0.17879943996764183,0.16490737470091926,0.7113922346721425,0.11326771741320923,-0.2065473982005899,0.06414023512627132,-0.056171041953076574,-0.4793025318211773,0.3656342983191327,-0.014494483461921764,0.022328574553947142,-0.060398034713642704
