"endpoint","domain","source_test","dataset","treatment","exposure","art_component","emmean","SE","df","lower.CL","upper.CL",".group","patch_date"
"vel_mean","NTT locomotion","NTT","BT1","0.5","24h","treatment:exposure",73.6666666666667,9.75702175375827,127,54.3592814198092,92.9740519135241,"a","2026-06-30"
"vel_mean","NTT locomotion","NTT","BT1","1","24h","treatment:exposure",59.0714285714286,10.0994770110341,127,39.0863861717121,79.0564709711451,"a","2026-06-30"
"vel_mean","NTT locomotion","NTT","BT1","0","96h","treatment:exposure",79.25,9.44719569022231,127,60.5557046200276,97.9442953799724,"a","2026-06-30"
"vel_mean","NTT locomotion","NTT","BT1","0.5","96h","treatment:exposure",76.1875,9.44719569022232,127,57.4932046200276,94.8817953799724,"a","2026-06-30"
"vel_mean","NTT locomotion","NTT","BT1","1","96h","treatment:exposure",44.7142857142857,10.0994770110341,127,24.7292433145692,64.6993281140022,"b","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","0","1h","treatment",67.2142857142857,10.4896874710418,127,46.4570872336606,87.9714841949108,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","0.5","1h","treatment",80.8749999999999,9.81220415274338,127,61.458418744059,100.291581255941,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","1","1h","treatment",56.0625,9.81220415274338,127,36.6459187440591,75.4790812559409,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","0","24h","treatment",67.5333333333333,10.1340008728433,127,47.4799744414554,87.5866922252112,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","0.5","24h","treatment",84.2666666666666,10.1340008728433,127,64.2133077747887,104.320025558545,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","1","24h","treatment",56.5714285714286,10.4896874710418,127,35.8142300908035,77.3286270520537,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","0","96h","treatment",67.875,9.81220415274337,127,48.458418744059,87.2915812559409,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","0.5","96h","treatment",77.375,9.81220415274338,127,57.958418744059,96.7915812559409,"a","2026-06-30"
"stratum_pref","NTT spatial position","NTT","BT1","1","96h","treatment",56.5,10.4896874710418,127,35.7428015193749,77.2571984806251,"a","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","0","1h","treatment:exposure",59.8181818181818,9.09994440013743,102,41.7684852473234,77.8678783890402,"a","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","0.5","1h","treatment:exposure",51.0714285714285,8.06623858588338,102,35.0720825818919,67.0707745609652,"a","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","1","1h","treatment:exposure",61.75,7.54527529708789,102,46.7839822236745,76.7160177763254,"a","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","0","24h","treatment:exposure",56.6666666666666,8.71253344776706,102,39.3853978829502,73.9479354503831,"ab","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","0.5","24h","treatment:exposure",43.8,7.7927268181791,102,28.343163304866,59.256836695134,"a","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","1","24h","treatment:exposure",77.5833333333333,8.71253344776705,102,60.3020645496169,94.8646021170498,"b","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","0","96h","treatment:exposure",55.5,10.6706306569804,102,34.3348546860037,76.6651453139963,"ab","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","0.5","96h","treatment:exposure",72.8181818181818,9.09994440013742,102,54.7684852473234,90.8678783890402,"a","2026-06-30"
"blood_sugar","physiology","post-test physiology","BT1","1","96h","treatment:exposure",28.5,8.71253344776705,102,11.2187312162835,45.7812687837164,"b","2026-06-30"
"resistance_index","endurance","RN","BT1","0","1h","treatment",81.7857142857143,9.71417072912715,127,62.563123483479,101.00830508795,"a","2026-06-30"
"resistance_index","endurance","RN","BT1","0.5","1h","treatment",76.6249999999999,9.08677466625545,127,58.6439127829708,94.6060872170291,"a","2026-06-30"
"resistance_index","endurance","RN","BT1","1","1h","treatment",43.25,9.08677466625545,127,25.2689127829708,61.2310872170292,"b","2026-06-30"
"resistance_index","endurance","RN","BT1","0","24h","treatment",84,9.38478052083914,127,65.4292129764648,102.570787023535,"a","2026-06-30"
"resistance_index","endurance","RN","BT1","0.5","24h","treatment",76.8666666666667,9.38478052083916,127,58.2958796431314,95.4374536902019,"a","2026-06-30"
"resistance_index","endurance","RN","BT1","1","24h","treatment",43.3571428571428,9.71417072912715,127,24.1345520549075,62.5797336593782,"b","2026-06-30"
"resistance_index","endurance","RN","BT1","0","96h","treatment",83.625,9.08677466625545,127,65.6439127829709,101.606087217029,"a","2026-06-30"
"resistance_index","endurance","RN","BT1","0.5","96h","treatment",80.3125,9.08677466625545,127,62.3314127829708,98.2935872170292,"a","2026-06-30"
"resistance_index","endurance","RN","BT1","1","96h","treatment",43.5714285714286,9.71417072912715,127,24.3488377691932,62.7940193736639,"b","2026-06-30"
