dist_total,mov_total,vel_mean,stratum_pref,time_bright,first_choice_binary,latency,mtpc,num_changes,resistance_index,attempts,blood_sugar,condition_factor
1,0.6785730605910251,0.8880770765477243,0.3916018430085907,-0.001046960194143585,0.0700003909523129,-0.04235671484674493,-0.05309908214770125,0.3301870532181435,0.15925615538098592,-0.058091652533942766,0.11780284677033474,0.019515683410961375
0.6785730605910251,1,0.3942084681406801,0.41090618036007365,-0.04537339384067059,0.1030854062495154,-0.12374556953971202,-0.13283190220060237,0.34549019494835975,0.11577871549953682,-0.09287370321443657,0.0837071802946393,-0.18437949372781245
0.8880770765477243,0.3942084681406801,1,0.31684036081584954,0.08346571867434999,0.06462092324030373,0.008048757021638167,0.03334958379984053,0.22188373880724926,0.10169525726737182,0.013168711247566502,0.08212203536883857,0.015455051427448236
0.3916018430085907,0.41090618036007365,0.31684036081584954,1,0.12427841736871427,0.03686060372673748,0.0039370924736208636,-0.003548319494125459,0.13413312474393285,0.12691757603620826,-0.0397257345898251,0.06986037753541431,-0.2442960743246591
-0.001046960194143585,-0.04537339384067059,0.08346571867434999,0.12427841736871427,1,0.41385967104174654,-0.2148167362412619,0.4787257184526054,0.07083516574826783,-0.21779195075426036,0.2163086797509402,0.16278823751411736,-0.0807120790660358
0.0700003909523129,0.1030854062495154,0.06462092324030373,0.03686060372673748,0.41385967104174654,1,-0.02842552110146184,0.1868822663704487,-0.017234167033988935,-0.06579889445636335,0.16329545125018888,9.33450396690288e-5,-0.15674031532143406
-0.04235671484674493,-0.12374556953971202,0.008048757021638167,0.0039370924736208636,-0.2148167362412619,-0.02842552110146184,1,0.056471896683555664,-0.248757170251919,0.012611959577968065,-0.041485477552422274,6.962721557136124e-4,-0.02398748998613288
-0.05309908214770125,-0.13283190220060237,0.03334958379984053,-0.003548319494125459,0.4787257184526054,0.1868822663704487,0.056471896683555664,1,-0.3611096991857396,-0.05874939881583357,0.18208750791465766,-0.07039017131192844,-0.01606054846974813
0.3301870532181435,0.34549019494835975,0.22188373880724926,0.13413312474393285,0.07083516574826783,-0.017234167033988935,-0.248757170251919,-0.3611096991857396,1,0.008838559584698246,-0.1599354082324884,0.1748570817582942,0.010759086616102366
0.15925615538098592,0.11577871549953682,0.10169525726737182,0.12691757603620826,-0.21779195075426036,-0.06579889445636335,0.012611959577968065,-0.05874939881583357,0.008838559584698246,1,-0.35088635246226574,0.0131030641337669,0.09896368156245937
-0.058091652533942766,-0.09287370321443657,0.013168711247566502,-0.0397257345898251,0.2163086797509402,0.16329545125018888,-0.041485477552422274,0.18208750791465766,-0.1599354082324884,-0.35088635246226574,1,-0.011184321739564398,-0.05306851408353871
0.11780284677033474,0.0837071802946393,0.08212203536883857,0.06986037753541431,0.16278823751411736,9.33450396690288e-5,6.962721557136124e-4,-0.07039017131192844,0.1748570817582942,0.0131030641337669,-0.011184321739564398,1,0.1130110774048297
0.019515683410961375,-0.18437949372781245,0.015455051427448236,-0.2442960743246591,-0.0807120790660358,-0.15674031532143406,-0.02398748998613288,-0.01606054846974813,0.010759086616102366,0.09896368156245937,-0.05306851408353871,0.1130110774048297,1
