treatment,exposure,n,centroid_PC1,centroid_PC2,centroid_PC3,centroid_PC4,centroid_PC5,centroid_PC6,centroid_PC7,centroid_PC8,centroid_PC9,centroid_PC10,centroid_PC11,centroid_PC12,centroid_PC13
0,1h,11,-0.9478353527295138,0.5353159707703942,0.07606215735798183,-0.04105266437666999,-0.0036150631851142602,-0.14447885772855792,0.4329270778641106,-0.3214420267265025,-0.20988477440040487,-0.09758740745588383,0.17701272656566377,-0.4361347841961441,-0.0947594744525574
0,24h,12,0.3414894871263482,1.1476762342714888,-0.6024084052943941,-0.044889130101555916,-0.22488378686201035,-0.6780370568717637,0.04494229589941943,-0.4168731467329035,0.3051495612062055,0.05684196577651724,-0.11272105561052988,0.11254203477327976,-0.02410055026123279
0,96h,8,0.3543967937465923,0.06125976234506776,-0.10369489584735916,0.28541391139723166,-0.05514668819947201,0.41538019317560343,-0.86477451147098094,0.19043802062797904,0.18753073890094368,-0.14404169832024769,0.627895885637115,0.1615240874308204,-0.1006338183664522
0.5,1h,13,-0.5169988229507744,0.7046668761255706,0.3309687224041302,0.14488406256849484,-0.31301635737448313,-0.023316297790677603,-0.25133285044447046,0.2129135198295543,-0.3588399257767216,-0.006329269739838565,-0.18788653568024757,-0.031644171055790656,0.08183534558354312
0.5,24h,15,0.1966599297763537,0.34212843028493933,-0.7206530351747384,-0.30035153796458475,-0.39448103297021425,-0.3262391294747752,0.3056633170064886,0.07269278798228236,-0.20896620415804865,0.23687437646274348,-0.3372780023715521,0.25126116253956937,0.010021012358048588
0.5,96h,11,0.9674172850458835,-0.5269551367787354,0.23646336104906904,-0.4370001657216355,-0.4493709627807565,1.3583312308059874,-0.07674334297786305,-0.19928159063055714,-0.06524581211941607,-0.04494738622044243,0.1385278953217592,-0.04630738832811387,0.04696860270882542
1,1h,16,0.6412365103813265,0.40777297941616547,0.03657480884164404,0.6810213874647331,0.7790440597759208,-0.09876297039886506,-0.12048293490321804,0.22911106924504804,-0.07202417053109095,-0.15041311990631684,0.09719067905079579,0.010972288000770955,0.09261488424241777
1,24h,12,-0.06744282217103288,-0.9049765866763282,0.8773088771412413,-0.4191973995464341,0.4609704501582495,0.2391491187061367,0.4274575766572306,-0.16969226108104943,0.10888689261859463,-0.14594475008676222,0.0973275684652687,-0.10030538168240888,-0.035884943492268784
1,96h,12,-1.0689861666085867,-2.025950546531321,0.0012481664200188376,0.022478854360169467,0.00939191797268723,-0.3859880042905636,-0.17154326696069852,0.3099329861860035,0.45912932671486917,0.22710204224186278,-0.19689566212597215,0.027894294904103136,-0.0537847303900661
