fish_id,battery_suite,group,date,start_time,treatment,exposure,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
1BT01h00513,1,1h_0.5,2020-07-22,12:48:25 ,0.5,1,0,E,25,117,4.7,263,177,440,3279.2,2654.3,5933.5,12.47,15,13.49,1,9,59,44.85,3.9,3.1,0.52,0.00175,f,251,110,7.2
1BT01h00514,1,1h_0.5,2020-07-22,13:07:12 ,0.5,1,0,C,36,150,4.2,203,244,447,2319.8,2979.7,5299.5,11.43,12.21,11.86,1,9,24,39.6,3.6,2.9,0.33,0.00135,m,92,110,7.2
1BT01h00515,1,1h_0.5,2020-07-22,13:26:06 ,0.5,1,0,C,41,240,5.9,159,241,400,1882.2,3627.3,5509.5,11.84,15.05,13.77,1,9,12,37.8,3.6,3,0.47,0.00174,f,113,110,7.2
1BT01h00516,1,1h_0.5,2020-07-22,13:44:30 ,0.5,1,480,,0,0,0,241,200,441,3305.3,2400.5,5705.8,13.71,12,12.94,1,10,40,51.67,4,3.2,0.63,0.00192,f,99,110,7.2
1BT01h01001,1,1h_1.0,2020-07-23,10:35:47,1.0,1,0,C,4,360,90,12,312,324,213.4,5071.4,5284.8,17.78,16.25,16.31,1,8,13,29.73,3.9,3.2,0.53,0.00162,m,207,110,7.3
1BT01h01002,1,1h_1.0,2020-07-23,10:53:28,1.0,1,0,C,16,187,11.7,380,60,440,7570.4,1538.7,9109.1,19.92,25.65,20.7,5,1,34,0.57,3.8,3,0.52,0.00193,f,175,110,7.3
1BT01h01003,1,1h_1.0,2020-07-23,11:06:06,1.0,1,26,C,17,164,9.6,372,54,426,4581.7,900.2,5481.9,12.32,16.67,12.87,1,8,43,33.73,3.7,3,0.49,0.00181,m,124,110,7.3
1BT01h01004,1,1h_1.0,2020-07-23,11:24:26,1.0,1,135,E,39,258,6.6,70,378,448,1527.4,5724.4,7251.8,21.82,15.14,16.19,1,3,16,3.8,3.8,3,0.59,0.00219,f,191,110,7.3
1BT01h01005,1,1h_1.0,2020-07-23,11:44:04,1.0,1,0,E,4,106,26.5,89,0,89,1039.9,0,1039.9,11.68,,11.68,2,8,48,34.4,3.8,3,0.51,0.00189,f,155,110,7.3
1BT01h01006,1,1h_1.0,2020-07-23,12:01:24,1.0,1,2,C,34,131,3.9,220,202,422,3388.1,3305.1,6693.2,15.4,16.36,15.86,1,3,12,3.6,3.3,2.8,0.28,0.00128,m,145,110,7.3
1BT01h01007,1,1h_1.0,2020-07-23,12:18:27,1.0,1,0,E,0,0,0,331,86,417,4742.6,1900.8,6643.4,14.33,22.1,15.93,1,5,22,11.83,3.5,3.1,0.61,0.00205,f,223,110,7.3
1BT01h01008,1,1h_1.0,2020-07-23,12:35:36,1.0,1,0,C,14,267,19.1,439,0,439,4633.3,0,4633.3,10.55,,10.55,1,2,6,1.2,3.5,2.7,0.34,0.00173,m,240,110,7.3
1BT01h01009,1,1h_1.0,2020-07-23,12:53:10,1.0,1,0,E,55,269,4.9,241,199,440,4323.8,3747.3,8071.1,17.94,18.83,18.34,1,8,25,31.33,3.9,3.1,0.44,0.00148,m,317,110,7.3
1BT01h01010,1,1h_1.0,2020-07-23,13:09:38,1.0,1,0,E,108,306,2.8,325,120,445,6158,2732.5,8890.5,18.95,22.77,19.98,1,9,48,43.2,3.6,2.9,0.42,0.00172,m,281,110,7.3
1BT01h01011,1,1h_1.0,2020-07-23,13:26:22,1.0,1,7,E,45,142,3.2,257,183,440,3192.9,2453.3,5646.2,12.42,13.41,12.83,1,8,32,32.27,3.6,2.8,0.3,0.00137,m,137,110,7.3
1BT01h01012,1,1h_1.0,2020-07-23,13:43:21,1.0,1,164,E,0,0,0,0,0,0,0,0,0,,,,1,9,16,38.4,4,3.1,0.7,0.00235,f,237,110,7.3
1BT01h01013,1,1h_1.0,2020-07-23,14:01:33,1.0,1,0,E,30,154,5.1,138,314,452,2685.4,6030.3,8715.7,19.46,19.2,19.28,1,9,27,40.05,3.9,3.1,0.54,0.00181,f,124,110,7.3
1BT01h01014,1,1h_1.0,2020-07-23,14:19:17,1.0,1,0,C,46,325,7.1,215,200,415,7010,4395.4,11405.4,32.6,21.98,27.48,1,9,20,39,3.6,2.9,0.53,0.00217,f,279,110,7.3
1BT01h01015,1,1h_1.0,2020-07-23,14:37:43,1.0,1,0,E,2,7,3.5,292,146,438,3320.2,1778.9,5099.1,11.37,12.18,11.64,1,8,55,35.33,3.7,2.9,0.31,0.00127,m,93,110,7.3
1BT01h01016,1,1h_1.0,2020-07-23,14:55:18,1.0,1,304,C,20,151,7.6,308,148,456,4714.11,3039.33,7753.44,15.31,20.54,17,1,8,41,33.47,3.5,2.8,0.34,0.00155,m,181,110,7.3
1BT24hCTR01,1,24h_CTR,2020-08-11,10:09:00,0.0,24,0,C,15,124,8.3,249,153,402,5861.27,4958.76,10820.03,23.54,32.41,26.92,1,11,52,64.53,3.7,3,3.9,0.00144,m,146,70,7.4
1BT24hCTR02,1,24h_CTR,2020-08-11,10:26:00,0.0,24,0,E,2,4,2,337,112,449,3299.73,1474.7,4774.43,9.79,13.17,10.63,1,9,42,42.3,3.6,2.9,4.6,0.00189,f,161,70,7.4
1BT24hCTR03,1,24h_CTR,2020-08-11,10:44:04,0.0,24,0,E,2,121,60.5,131,0,131,1207.55,0,1207.55,9.22,0,9.22,5,1,30,0.5,4.1,3.5,3.5,0.00082,m,,70,7.4
1BT24hCTR04,1,24h_CTR,2020-08-11,11:03:58,0.0,24,9,E,35,180,5.1,300,61,361,3296.07,1917.77,5213.84,10.99,31.44,14.44,1,10,39,51.5,3.6,3,3.7,0.00137,m,,70,7.4
1BT24hCTR05,1,24h_CTR,2020-08-11,11:21:53,0.0,24,0,C,16,164,10.3,446,8,454,3390.15,90.87,3481.02,7.6,11.36,7.67,1,12,8,67.6,3.5,2.9,3.3,0.00135,m,120,70,7.4
1BT24hCTR06,1,24h_CTR,2020-08-11,11:41:02,0.0,24,0,C,25,203,8.1,211,254,465,1549.36,1765.81,3315.17,7.34,6.95,7.13,1,9,44,42.6,3.6,2.9,3,0.00123,m,182,70,7.4
1BT24hCTR07,1,24h_CTR,2020-08-11,12:00:53,0.0,24,0,C,13,65,5,310,119,429,2658.78,1165.05,3823.83,8.58,9.79,8.91,1,9,5,36.75,3.4,2.8,3.3,0.0015,f,211,70,7.4
1BT24hCTR08,1,24h_CTR,2020-08-11,12:20:58,0.0,24,0,C,25,121,4.8,245,207,452,2580.37,2436.15,5016.52,10.53,11.77,11.1,1,9,55,44.25,3.5,2.9,2.9,0.00119,m,,70,7.4
1BT24hCTR09,1,24h_CTR,2020-08-11,12:38:45,0.0,24,0,C,20,95,4.8,194,230,424,2426.9,3112.55,5539.45,12.51,13.53,13.06,1,9,55,44.25,3.3,2.7,3.9,0.00198,f,109,70,7.4
1BT24hCTR10,1,24h_CTR,2020-08-11,12:56:25,0.0,24,170,E,24,85,3.5,402,5,407,3580.11,124.61,3704.72,8.91,24.92,9.1,1,8,16,30.13,4,3.2,6,0.00183,f,240,70,7.4
1BT24hCTR11,1,24h_CTR,2020-08-11,13:14:11,0.0,24,0,E,26,63,2.4,358,82,440,3781.56,1228.18,5009.74,10.56,14.98,11.39,1,8,16,30.13,4,3.4,7,0.00178,f,72,70,7.4
1BT24hCTR12,1,24h_CTR,2020-08-11,13:32:50,0.0,24,0,E,22,97,4.4,206,201,407,2909.33,3157.24,6066.57,14.12,15.71,14.91,1,10,51,53.5,3.6,2.8,3.8,0.00173,m,103,70,7.4
1BT24hCTR13,1,24h_CTR,2020-08-11,13:51:28,0.0,24,0,C,19,84,4.4,293,126,419,4524.06,2493.21,7017.27,15.44,19.79,16.75,1,10,38,51.33,3.7,3,4,0.00148,f,98,70,7.4
1BT24hCTR14,1,24h_CTR,2020-08-11,14:09:10,0.0,24,25,E,25,61,2.4,220,219,439,2895.87,3191.46,6087.33,13.16,14.57,13.87,1,11,15,57.75,3.5,2.8,3.6,0.00164,m,116,70,7.4
1BT24hCTR15,1,24h_CTR,2020-08-11,14:26:58,0.0,24,0,E,15,103,6.9,278,139,417,4284.59,2459.67,6744.26,15.41,17.7,16.17,1,4,49,9.27,3.6,2.8,4,0.00182,f,72,70,7.4
