fish_id,time_bright,mtpc,first_choice_binary,latency,num_changes,dist_total,vel_mean,mov_total,stratum_pref,resistance_index,last_flux,attempts,time_in_last_flux,condition_factor
1BT01h01013,154,5.13333333333333,0.0,0,30,8715.7,19.2825221238938,452,69.4690265486726,40.05,9,1,27,1.81262797489175
1BT01h01014,325,7.06521739130435,1.0,0,46,11405.4,27.4828915662651,415,48.1927710843374,39.0,9,1,20,2.17311082865226
1BT01h01015,7,3.5,0.0,0,2,5099.1,11.6417808219178,438,33.3333333333333,35.3333333333333,8,1,55,1.27106482430604
1BT01h01016,151,7.55,1.0,304,20,7753.44,17.0031578947368,456,32.4561403508772,33.4666666666667,8,1,41,1.54883381924198
1BT24hCTR01,124,8.26666666666667,1.0,0,15,10820.03,26.9154975124378,402,38.0597014925373,64.5333333333333,11,1,52,1.44444444444444
1BT24hCTR02,4,2.0,0.0,0,2,4774.43,10.6334743875278,449,24.9443207126949,42.3,9,1,42,1.88609619090574
1BT24hCTR03,121,60.5,0.0,0,2,1207.55,9.21793893129771,131,0.0,0.5,1,5,30,0.816326530612245
1BT24hCTR04,180,5.14285714285714,0.0,9,35,5213.84,14.4427700831025,361,16.8975069252078,51.5,10,1,39,1.37037037037037
1BT24hCTR05,164,10.25,1.0,0,16,3481.02,7.6674449339207,454,1.76211453744493,67.6,12,1,8,1.35306900651933
1BT24hCTR06,203,8.12,1.0,0,25,3315.17,7.12939784946237,465,54.6236559139785,42.6,9,1,44,1.23006273319939
1BT24hCTR07,65,5.0,1.0,0,13,3823.83,8.91335664335664,429,27.7389277389277,36.75,9,1,5,1.50327988338192
1BT24hCTR08,121,4.84,1.0,0,25,5016.52,11.0984955752212,452,45.7964601769911,44.25,9,1,55,1.18906064209275
1BT24hCTR09,95,4.75,1.0,0,20,5539.45,13.0647405660377,424,54.2452830188679,44.25,9,1,55,1.98140527358634
1BT24hCTR10,85,3.54166666666667,0.0,170,24,3704.72,9.10250614250614,407,1.22850122850123,30.1333333333333,8,1,16,1.8310546875
1BT24hCTR11,63,2.42307692307692,0.0,0,26,5009.74,11.3857727272727,440,18.6363636363636,30.1333333333333,8,1,16,1.78098921229391
1BT24hCTR12,97,4.40909090909091,0.0,0,22,6066.57,14.9055773955774,407,49.3857493857494,53.5,10,1,51,1.73104956268222
1BT24hCTR13,84,4.42105263157895,1.0,0,19,7017.27,16.747661097852,419,30.0715990453461,51.3333333333333,10,1,38,1.48148148148148
1BT24hCTR14,61,2.44,0.0,25,25,6087.33,13.8663553530752,439,49.8861047835991,57.75,11,1,15,1.6399416909621
1BT24hCTR15,103,6.86666666666667,0.0,0,15,6744.26,16.1732853717026,417,33.3333333333333,9.26666666666667,4,1,49,1.82215743440233
1BT24h00501,67,2.57692307692308,0.0,9,26,6997.2,15.3111597374179,457,46.8271334792123,52.8333333333333,10,1,47,1.861572265625
1BT24h00502,156,5.57142857142857,1.0,0,28,3593.96,8.78718826405868,409,6.11246943765281,31.7333333333333,8,1,28,1.86771137026239
1BT24h00503,402,67.0,1.0,0,6,3822.48,8.86886310904872,431,48.9559164733179,42.3,9,1,42,1.57496316618402
1BT24h00504,213,6.45454545454545,1.0,6,33,3307.47,7.80063679245283,424,28.5377358490566,42.3,9,1,42,1.47335263933343
1BT24h00505,183,6.1,1.0,0,30,5836.91,13.418183908046,435,35.632183908046,42.75,9,1,45,2.11111111111111
1BT24h00506,10,1.66666666666667,0.0,11,6,4181.51,9.59061926605505,436,48.6238532110092,38.1,9,1,14,1.48148148148148
1BT24h00507,432,21.6,1.0,0,20,5673.48,13.3180281690141,426,54.6948356807512,43.8,9,1,52,1.48148148148148
1BT24h00508,117,117.0,1.0,363,0,7710.11,18.4894724220623,417,37.8896882494005,40.8,9,1,32,1.62962962962963
1BT24h00509,127,4.09677419354839,0.0,2,31,5972.78,14.1535071090047,422,44.7867298578199,41.85,9,1,39,1.27551020408163
1BT24h00510,103,3.32258064516129,0.0,0,31,4219.43,9.31441501103753,453,53.4216335540839,3.55,3,1,11,1.59908155315921
1BT24h00511,267,5.93333333333333,1.0,0,45,5086.58,11.1547807017544,456,60.7456140350877,7.53333333333333,4,1,23,1.51707737094592
1BT24h00512,162,162.0,1.0,318,0,4715.66,11.2545584725537,419,11.9331742243437,34.8,8,1,51,1.60932944606414
1BT24h00514,181,25.8571428571429,1.0,126,7,5064.8,11.3306487695749,447,35.1230425055928,51.1666666666667,10,1,37,1.55807946205256
1BT24h00515,179,5.96666666666667,1.0,0,30,5808.32,13.0231390134529,446,27.8026905829596,43.5,9,1,50,1.55200488499898
1BT24h00516,224,8.61538461538461,1.0,20,26,5405.88,12.2028893905192,443,54.176072234763,43.2,9,1,48,1.57496316618402
1BT24h01001,330,7.67441860465116,1.0,0,43,5790.51,15.6078436657682,371,12.9380053908356,6.93333333333333,4,1,14,1.64379058107997
1BT24h01002,241,16.0666666666667,1.0,0,15,3698.04,10.0764032697548,367,34.8773841961853,1.3,2,5,9,1.56160105202597
1BT24h01003,246,10.25,1.0,0,24,3548.35,9.91159217877095,358,1.39664804469274,24.2666666666667,7,1,28,1.73611111111111
1BT24h01004,435,217.5,1.0,0,2,4468.74,14.6998026315789,304,7.89473684210526,9.0,4,1,45,1.15740740740741
1BT24h01005,201,6.93103448275862,1.0,0,29,4525.28,11.7845833333333,384,11.1979166666667,2.36666666666667,2,1,41,1.28
1BT24h01006,172,6.37037037037037,1.0,0,27,3365.37,13.9064876033058,242,16.1157024793388,4.25,3,1,25,1.216
1BT24h01007,316,8.1025641025641,1.0,10,39,2761.66,7.845625,352,0.0,1.56666666666667,2,1,17,1.72598011013397
1BT24h01008,150,7.89473684210526,1.0,10,19,4184.23,11.3701902173913,368,26.3586956521739,30.9333333333333,8,1,22,1.56160105202597
1BT24h01009,226,5.51219512195122,1.0,0,41,6566.12,17.3248548812665,379,24.802110817942,36.3,9,2,2,1.64379058107997
1BT24h01010,288,9.93103448275862,1.0,0,29,4377.22,10.3971971496437,421,41.3301662707838,1.93333333333333,2,2,28,1.22974537037037
1BT24h01011,204,6.375,1.0,0,32,6417.18,16.71140625,384,48.4375,42.15,9,1,41,1.30208333333333
1BT24h01012,393,21.8333333333333,1.0,4,18,4084.55,10.921256684492,374,78.0748663101604,30.4,8,2,18,1.51909722222222
1BT24h01013,153,5.66666666666667,1.0,10,27,5177.19,12.942975,400,46.0,7.86666666666667,4,3,28,1.59143518518519
1BT24h01014,302,8.38888888888889,1.0,0,36,5786.01,14.3930597014925,402,48.0099502487562,4.05,3,1,21,1.59143518518519
1BT96hCTR01,127,6.35,1.0,0,20,5724.37,13.5648578199052,422,50.4739336492891,40.5,9,1,30,2.05473822634996
1BT96hCTR02,342,22.8,0.0,93,15,622.36,14.1445454545455,44,52.2727272727273,37.65,9,1,11,1.39407109762598
1BT96hCTR03,200,11.7647058823529,1.0,0,17,7101.7,17.2790754257908,411,41.3625304136253,43.8,9,1,52,1.64997724169322
1BT96hCTR04,82,3.28,0.0,0,25,5722.92,13.5936342042755,421,35.8669833729216,28.8,8,1,6,2.13692775540396
1BT96hCTR05,461,115.25,1.0,0,4,8323.07,22.7406284153005,366,32.2404371584699,7.73333333333333,4,1,26,1.57765768185022
1BT96hCTR06,291,12.6521739130435,1.0,0,23,5070.77,12.0445843230404,421,57.957244655582,46.1666666666667,10,1,7,1.62576842960931
1BT96hCTR07,107,4.28,0.0,0,25,5595.45,13.0734813084112,428,53.7383177570093,38.1,9,1,14,1.4792899408284
1BT96hCTR08,108,5.68421052631579,1.0,0,19,5046.17,11.7901168224299,428,34.5794392523364,8.33333333333333,4,1,35,1.97254869729596
1BT96hCTR09,14,2.33333333333333,0.0,0,6,4512.86,10.5440654205607,428,73.8317757009346,34.5333333333333,8,1,49,1.4792899408284
1BT96hCTR10,0,0.0,0.0,0,0,2015.22,6.5856862745098,306,1.96078431372549,21.8166666666667,7,1,7,0.851851851851852
1BT96hCTR11,356,59.3333333333333,0.0,9,6,5323.17,12.1256719817768,439,43.9635535307517,19.2,6,1,42,1.37174211248285
1BT96hCTR12,244,7.39393939393939,1.0,0,33,6809.91,18.0634217506631,377,40.8488063660477,8.06666666666667,4,1,31,1.6765736930346
1BT96hCTR13,39,9.75,0.0,0,4,6083.5,15.4403553299492,394,57.3604060913706,9.33333333333333,4,1,50,1.70687300864816
1BT96hCTR14,56,11.2,1.0,13,5,5457.77,14.2129427083333,384,58.59375,45.6666666666667,10,1,4,1.59143518518519
1BT96hCTR15,136,4.85714285714286,0.0,32,28,4965.99,11.7957007125891,421,41.0926365795724,39.45,9,1,23,1.92
1BT96hCTR16,97,5.70588235294118,1.0,0,17,5066.63,11.8934976525822,426,55.1643192488263,67.0,12,1,5,1.57496316618402
1BT96h00501,345,10.4545454545455,1.0,0,33,6717.42,14.8287417218543,453,45.6953642384106,31.0666666666667,8,1,23,1.4792899408284
1BT96h00502,360,16.3636363636364,1.0,18,22,3917.92,9.81934837092732,399,99.2481203007519,36.45,9,2,3,1.44675925925926
1BT96h00503,283,16.6470588235294,1.0,0,17,5227.49,12.4168408551069,421,23.9904988123515,35.3333333333333,8,1,55,1.59308147473828
1BT96h00504,453,453.0,1.0,0,1,2849.66,6.6425641025641,429,66.2004662004662,0.35,1,5,21,1.30208333333333
1BT96h00505,186,6.2,1.0,10,30,4787.73,10.6868973214286,448,33.4821428571429,33.3333333333333,8,1,40,1.536
1BT96h00506,227,6.13513513513514,1.0,0,37,5370.86,12.4903720930233,430,46.2790697674419,2.8,2,1,54,1.72598011013397
1BT96h00507,282,6.0,1.0,0,47,5981.17,13.6868878718535,437,75.7437070938215,19.4,6,1,44,1.1480585509861
1BT96h00508,332,22.1333333333333,1.0,0,15,4539.41,10.7568957345972,422,48.3412322274881,33.3333333333333,8,1,40,1.97220135236664
1BT96h00509,267,8.09090909090909,0.0,0,33,4169.74,9.76519906323185,427,32.7868852459016,33.4666666666667,8,1,41,1.27013158563227
1BT96h00510,244,6.97142857142857,1.0,0,35,4130.51,9.78793838862559,422,27.9620853080569,6.86666666666667,4,1,13,1.56160105202597
1BT96h00511,35,8.75,1.0,435,4,5044.78,12.5492039800995,402,93.0348258706468,5.05,3,2,41,1.02412380518889
1BT96h00512,234,6.68571428571429,1.0,0,35,5582.03,12.9513457076566,431,44.7795823665893,31.0666666666667,8,1,23,1.792
1BT96h00513,162,5.2258064516129,1.0,0,31,6250.42,14.0458876404494,445,35.5056179775281,48.3333333333333,10,1,20,1.39407109762598
1BT96h00514,383,19.15,1.0,0,20,7062.33,16.424023255814,430,70.6976744186046,37.5,9,1,10,1.472
1BT96h00515,269,5.97777777777778,1.0,0,45,4871.37,10.9715540540541,444,59.6846846846847,8.2,4,1,33,1.408
1BT96h00516,243,7.14705882352941,1.0,0,34,4965.42,12.2906435643564,404,43.0693069306931,35.3333333333333,8,1,55,1.47941152297197
1BT96h01001,402,28.7142857142857,1.0,0,14,2637.07,6.17580796252927,427,43.7939110070258,11.75,5,3,21,1.42239417387346
1BT96h01002,475,475.0,0.0,0,1,3881.47,9.37553140096618,414,19.3236714975845,5.6,3,2,52,1.216
1BT96h01003,480,480.0,1.0,0,0,6604.87,16.5951507537688,398,70.6030150753769,25.3166666666667,7,2,37,1.6765736930346
1BT96h01004,459,57.375,1.0,8,8,5051.54,12.7564141414141,396,22.979797979798,8.46666666666667,4,2,37,1.52415790275873
1BT96h01005,83,4.15,1.0,0,20,2959.6,9.83255813953488,301,21.9269102990033,6.33333333333333,4,1,5,1.51851851851852
1BT96h01006,462,462.0,1.0,18,0,3962.39,9.75958128078818,406,3.69458128078818,15.2,6,1,2,1.47941152297197
1BT96h01007,95,4.52380952380952,1.0,0,21,4233.35,11.2290450928382,377,3.71352785145889,6.46666666666667,4,2,7,1.36549840691853
1BT96h01008,435,72.5,1.0,0,6,3191.24,8.9140782122905,358,55.8659217877095,9.66666666666667,4,1,55,1.472
1BT96h01009,445,37.0833333333333,1.0,0,12,5121.37,13.3717232375979,383,27.9373368146214,12.8333333333333,5,1,34,1.39722199391798
1BT96h01010,400,22.2222222222222,0.0,0,18,3702.8,9.7957671957672,378,1.58730158730159,8.86666666666667,4,3,43,1.51909722222222
1BT96h01011,365,11.40625,1.0,0,32,3854.21,9.68394472361809,398,10.5527638190955,30.6666666666667,8,1,20,1.728
1BT96h01012,443,55.375,1.0,0,8,3794.53,15.4878775510204,245,2.04081632653061,7.06666666666667,4,1,16,1.55807946205256
1BT96h01013,127,3.52777777777778,1.0,0,36,5006.14,11.9478281622912,419,14.3198090692124,9.66666666666667,4,1,55,1.62962962962963
1BT96h01014,480,480.0,1.0,0,0,3941.94,15.045572519084,262,46.1832061068702,30.9333333333333,8,3,22,1.56160105202597
