endpoint,nonmissing_full_bt1
time_bright,136
mtpc,136
first_choice_binary,135
latency,136
num_changes,136
dist_total,136
vel_mean,136
mov_total,136
stratum_pref,136
resistance_index,136
last_flux,136
attempts,136
time_in_last_flux,136
condition_factor,136
