package,installed,version
ARTool,TRUE,0.11.2
Hmisc,FALSE,NA
base,TRUE,4.5.3
boot,TRUE,1.3-32
broom,TRUE,1.0.12
car,TRUE,3.1-5
corrplot,TRUE,0.95
dplyr,TRUE,1.2.0
emmeans,TRUE,2.0.2
factoextra,TRUE,2.0.0
ggplot2,TRUE,4.0.2
knitr,TRUE,1.51
purrr,TRUE,1.2.1
readr,TRUE,2.2.0
rlang,TRUE,1.1.7
rmarkdown,TRUE,2.31
stats,TRUE,4.5.3
stringr,TRUE,1.6.0
tibble,TRUE,3.3.1
tidyr,TRUE,1.3.2
utils,TRUE,4.5.3
