source_row_index,fish_id,battery_suite,battery,group_raw,group,treatment,exposure,date_raw,start_time_raw,datetime_raw,datetime,datetime_parse_method,datetime_parse_failed_flag,first_choice_raw,first_choice,first_choice_clean,first_choice_binary,first_choice_valid_binary,no_choice_flag,first_choice_nonbinary_flag,date,start_time,latency,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH,sex_raw,stratum_pref,ldt_present_flag,ntt_present_flag,endurance_present_flag,first_choice_exclusion_reason,blood_sugar_missing_flag,sex_missing_flag,ldt_time_bright_gt_480_flag,ldt_time_bright_gt_600_flag,ntt_mov_total_gt_480_flag,zero_motion_flag,low_motion_flag,impossible_value_flag,tracking_failure_flag,missing_critical_field_flag,distance_outlier_flag,manual_review_flag,global_exclusion_flag,global_exclusion_reason
295,3BT01h00502,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,6.0,48.0,19.8,3.3,2.6,0.27,1.536185707783341,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
296,3BT01h00503,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,3.0,9.0,7.0,37.05,3.5,2.9,0.43,1.7630899175857968,female,161.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
297,3BT01h00504,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,6.0,38.0,18.8,3.4,2.7,0.28,1.422547375908144,male,322.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
298,3BT01h00505,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,7.0,47.0,26.483333333333334,3.1,2.5,0.28,1.7920000000000003,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
299,3BT01h00506,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,31.0,18.1,3.3,2.6,0.28,1.5930814747382795,,,,,,,False,False,True,,True,True,False,False,False,False,False,False,False,False,False,False,False,
300,3BT01h00507,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,5.0,47.0,13.916666666666666,3.1,2.5,0.18,1.152,male,102.0,,,m,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
301,3BT01h00508,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,8.0,33.0,32.4,3.9,3.2,0.49,1.4953613281249996,female,324.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
302,3BT01h00509,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,2.0,5.0,12.0,11.0,3.1,2.5,0.3,1.92,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
303,3BT01h00510,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,2.0,31.0,2.033333333333333,3.9,3.2,0.62,1.8920898437499996,female,384.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
304,3BT01h00511,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,2.0,26.0,1.8666666666666667,3.4,2.7,0.33,1.676573693034598,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
305,3BT01h00512,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,2.0,29.0,1.9666666666666668,3.3,2.7,0.31,1.5749631661840162,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
306,3BT01h00513,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,7.0,20.0,23.333333333333332,3.5,2.5,0.46,2.944,female,,,,f,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
307,3BT01h00514,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,4.0,28.0,7.866666666666667,3.4,2.5,0.4,2.56,female,432.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
308,3BT01h00515,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,3.0,31.0,4.55,3.5,2.7,0.39,1.9814052735863432,male,,,,m,,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,False,
309,3BT01h00516,3,BT3,01h_0.5,01h 0.5%,0.5,1,,,,,failed,False,,,,,False,False,False,,,,,,,,,,,,,,,,1.0,6.0,35.0,18.5,3.4,2.6,0.58,3.299954483386436,female,306.0,,,f,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,
