"source_row_index","fish_id","battery_suite","battery","group_raw","group","treatment","exposure","date_raw","start_time_raw","datetime_raw","datetime","datetime_parse_method","datetime_parse_failed_flag","first_choice_raw","first_choice","first_choice_clean","first_choice_binary","first_choice_valid_binary","no_choice_flag","first_choice_nonbinary_flag","date","start_time","latency","num_changes","time_bright","mtpc","mov_bottom","mov_upper","mov_total","dist_bottom","dist_upper","dist_total","vel_bottom","vel_upper","vel_mean","attempts","last_flux","time_in_last_flux","resistance_index","lt","ls","wt","Kc","sex","blood_sugar","conductivity","pH","sex_raw","stratum_pref","ldt_present_flag","ntt_present_flag","endurance_present_flag","first_choice_exclusion_reason","blood_sugar_missing_flag","sex_missing_flag","ldt_time_bright_gt_480_flag","ldt_time_bright_gt_600_flag","ntt_mov_total_gt_480_flag","zero_motion_flag","low_motion_flag","impossible_value_flag","tracking_failure_flag","missing_critical_field_flag","distance_outlier_flag","manual_review_flag","global_exclusion_flag","global_exclusion_reason"
291,"3BT01hCTR14",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,37,51.1666666666667,3.3,2.7,0.26,1.32093684905756,"male",152,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
292,"3BT01hCTR15",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,15,3.6,3.1,0.38,1.27555301936827,"female",165,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
293,"3BT01hCTR16",3,"BT3","01h_CTR","01h 0.0%",0,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,21.5833333333333,3.1,2.5,0.24,1.536,"male",327,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
294,"3BT01h00501",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,26,17.6,3.4,2.4,0.28,2.02546296296296,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
295,"3BT01h00502",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,48,19.8,3.3,2.6,0.27,1.53618570778334,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
296,"3BT01h00503",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,7,37.05,3.5,2.9,0.43,1.7630899175858,"female",161,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
297,"3BT01h00504",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,38,18.8,3.4,2.7,0.28,1.42254737590814,"male",322,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
298,"3BT01h00505",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,47,26.4833333333333,3.1,2.5,0.28,1.792,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
299,"3BT01h00506",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,31,18.1,3.3,2.6,0.28,1.59308147473828,"",NA,NA,NA,"",NA,"False","False","True",NA,"True","True","False","False","False","False","False","False","False","False","False","False","False",NA
300,"3BT01h00507",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,47,13.9166666666667,3.1,2.5,0.18,1.152,"male",102,NA,NA,"m",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
301,"3BT01h00508",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,33,32.4,3.9,3.2,0.49,1.495361328125,"female",324,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
302,"3BT01h00509",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,12,11,3.1,2.5,0.3,1.92,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
303,"3BT01h00510",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,31,2.03333333333333,3.9,3.2,0.62,1.89208984375,"female",384,NA,NA,"f",NA,"False","False","True",NA,"False","False","False","False","False","False","False","False","False","False","False","False","False",NA
304,"3BT01h00511",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,26,1.86666666666667,3.4,2.7,0.33,1.6765736930346,"female",NA,NA,NA,"f",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
305,"3BT01h00512",3,"BT3","01h_0.5","01h 0.5%",0.5,1,NA,NA,NA,NA,"failed","False",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,29,1.96666666666667,3.3,2.7,0.31,1.57496316618402,"male",NA,NA,NA,"m",NA,"False","False","True",NA,"True","False","False","False","False","False","False","False","False","False","False","False","False",NA
