"battery","treatment","exposure","variable","resolved_variable","n","shapiro_w","shapiro_p","note"
"BT2","0.5","96h","num_changes","num_changes",16,0.925969811412456,0.210310190952633,"Shapiro-Wilk run."
"BT3","0.5","96h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","num_changes","num_changes",14,0.906114924858247,0.138379149737813,"Shapiro-Wilk run."
"BT2","1","96h","num_changes","num_changes",15,0.845635670173823,0.0150719420949388,"Shapiro-Wilk run."
"BT3","1","96h","num_changes","num_changes",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","resistance_index","resistance_index",14,0.94120870200643,0.434032154727276,"Shapiro-Wilk run."
"BT2","0","1h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","1h","resistance_index","resistance_index",16,0.869072411767212,0.0263219489874427,"Shapiro-Wilk run."
"BT1","0.5","1h","resistance_index","resistance_index",16,0.938263900898579,0.328290000996779,"Shapiro-Wilk run."
"BT2","0.5","1h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","1h","resistance_index","resistance_index",16,0.943683254956047,0.396602028062646,"Shapiro-Wilk run."
"BT1","1","1h","resistance_index","resistance_index",16,0.804047607940021,0.00308386716890236,"Shapiro-Wilk run."
"BT2","1","1h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","1h","resistance_index","resistance_index",15,0.864711659314494,0.0282400492638349,"Shapiro-Wilk run."
"BT1","0","24h","resistance_index","resistance_index",15,0.928062915983382,0.255229782025742,"Shapiro-Wilk run."
"BT2","0","24h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","24h","resistance_index","resistance_index",15,0.895773466654996,0.0820477360365891,"Shapiro-Wilk run."
"BT1","0.5","24h","resistance_index","resistance_index",15,0.754470707646415,0.00101407870441549,"Shapiro-Wilk run."
"BT2","0.5","24h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","24h","resistance_index","resistance_index",14,0.949912890756975,0.559353492630597,"Shapiro-Wilk run."
"BT1","1","24h","resistance_index","resistance_index",14,0.809459817804447,0.0065493859527453,"Shapiro-Wilk run."
"BT2","1","24h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","24h","resistance_index","resistance_index",12,0.954334210725628,0.700932042679984,"Shapiro-Wilk run."
"BT1","0","96h","resistance_index","resistance_index",16,0.921631453004789,0.179189055354456,"Shapiro-Wilk run."
"BT2","0","96h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","96h","resistance_index","resistance_index",16,0.911786166728484,0.124350287057592,"Shapiro-Wilk run."
"BT1","0.5","96h","resistance_index","resistance_index",16,0.860079624267794,0.0192367898284317,"Shapiro-Wilk run."
"BT2","0.5","96h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","96h","resistance_index","resistance_index",16,0.896429581080313,0.0704732469782824,"Shapiro-Wilk run."
"BT1","1","96h","resistance_index","resistance_index",14,0.776980280456402,0.00262773637627523,"Shapiro-Wilk run."
"BT2","1","96h","resistance_index","resistance_index",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","96h","resistance_index","resistance_index",15,0.868023178088504,0.0315632371012354,"Shapiro-Wilk run."
"BT1","0","1h","stratum_pref","stratum_pref",14,0.908565005646779,0.150201092964009,"Shapiro-Wilk run."
"BT2","0","1h","stratum_pref","stratum_pref",16,0.875194261409695,0.0326850569776098,"Shapiro-Wilk run."
"BT3","0","1h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","stratum_pref","stratum_pref",16,0.920561286988377,0.172227514375505,"Shapiro-Wilk run."
"BT2","0.5","1h","stratum_pref","stratum_pref",16,0.866414386479804,0.0239784635558569,"Shapiro-Wilk run."
"BT3","0.5","1h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","stratum_pref","stratum_pref",16,0.933019726360978,0.272066511135182,"Shapiro-Wilk run."
"BT2","1","1h","stratum_pref","stratum_pref",16,0.810880502369237,0.00381257910614463,"Shapiro-Wilk run."
"BT3","1","1h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","stratum_pref","stratum_pref",15,0.920686323776791,0.197332100179745,"Shapiro-Wilk run."
"BT2","0","24h","stratum_pref","stratum_pref",16,0.95352293512663,0.547468153361073,"Shapiro-Wilk run."
"BT3","0","24h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","stratum_pref","stratum_pref",15,0.922550971045166,0.210658888615043,"Shapiro-Wilk run."
"BT2","0.5","24h","stratum_pref","stratum_pref",15,0.686028744348909,0.000176874765230368,"Shapiro-Wilk run."
"BT3","0.5","24h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","stratum_pref","stratum_pref",14,0.937836948708276,0.391309712264909,"Shapiro-Wilk run."
"BT2","1","24h","stratum_pref","stratum_pref",12,0.90691331805814,0.194739251352757,"Shapiro-Wilk run."
"BT3","1","24h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","stratum_pref","stratum_pref",16,0.911021249647075,0.120867751764772,"Shapiro-Wilk run."
"BT2","0","96h","stratum_pref","stratum_pref",16,0.927195483119325,0.220002265682321,"Shapiro-Wilk run."
"BT3","0","96h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","stratum_pref","stratum_pref",16,0.9200049599661,0.168713686145843,"Shapiro-Wilk run."
"BT2","0.5","96h","stratum_pref","stratum_pref",16,0.968495452390531,0.813686319227221,"Shapiro-Wilk run."
"BT3","0.5","96h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","stratum_pref","stratum_pref",14,0.899271526456394,0.110072308267641,"Shapiro-Wilk run."
"BT2","1","96h","stratum_pref","stratum_pref",16,0.970046769574964,0.839366180384113,"Shapiro-Wilk run."
"BT3","1","96h","stratum_pref","stratum_pref",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","time_bright","time_bright",14,0.853591136028395,0.024858303721483,"Shapiro-Wilk run."
"BT2","0","1h","time_bright","time_bright",16,0.958989572131156,0.643491742344242,"Shapiro-Wilk run."
"BT3","0","1h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","time_bright","time_bright",16,0.905332851938522,0.0978767928712232,"Shapiro-Wilk run."
"BT2","0.5","1h","time_bright","time_bright",16,0.951378045388447,0.511829504451126,"Shapiro-Wilk run."
"BT3","0.5","1h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","time_bright","time_bright",16,0.938792149136918,0.334481525027689,"Shapiro-Wilk run."
"BT2","1","1h","time_bright","time_bright",16,0.945860977998391,0.427076406912346,"Shapiro-Wilk run."
"BT3","1","1h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","time_bright","time_bright",15,0.964989815492673,0.778213229900155,"Shapiro-Wilk run."
"BT2","0","24h","time_bright","time_bright",16,0.935162997746913,0.293916220046128,"Shapiro-Wilk run."
"BT3","0","24h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","time_bright","time_bright",15,0.918547474163259,0.183046157377334,"Shapiro-Wilk run."
"BT2","0.5","24h","time_bright","time_bright",15,0.803438006060638,0.00407072860036681,"Shapiro-Wilk run."
"BT3","0.5","24h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","time_bright","time_bright",14,0.948489196493529,0.537505509814498,"Shapiro-Wilk run."
"BT2","1","24h","time_bright","time_bright",12,0.858435806164147,0.0467326711891301,"Shapiro-Wilk run."
"BT3","1","24h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","time_bright","time_bright",16,0.915149089599831,0.140894132015191,"Shapiro-Wilk run."
"BT2","0","96h","time_bright","time_bright",16,0.946817666197088,0.441009537999333,"Shapiro-Wilk run."
"BT3","0","96h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","time_bright","time_bright",16,0.966528823500671,0.779732972591238,"Shapiro-Wilk run."
"BT2","0.5","96h","time_bright","time_bright",16,0.942583542713027,0.38187354676124,"Shapiro-Wilk run."
"BT3","0.5","96h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","time_bright","time_bright",14,0.708255367883696,0.000450446286175236,"Shapiro-Wilk run."
"BT2","1","96h","time_bright","time_bright",15,0.741952137086266,0.000725197265653451,"Shapiro-Wilk run."
"BT3","1","96h","time_bright","time_bright",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","time_in_last_flux","time_in_last_flux",14,0.838757464655053,0.015683392086534,"Shapiro-Wilk run."
"BT2","0","1h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","1h","time_in_last_flux","time_in_last_flux",16,0.926807055404932,0.216885705397813,"Shapiro-Wilk run."
"BT1","0.5","1h","time_in_last_flux","time_in_last_flux",16,0.959278795940775,0.648719314221369,"Shapiro-Wilk run."
"BT2","0.5","1h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","1h","time_in_last_flux","time_in_last_flux",16,0.943189968276893,0.38994050894805,"Shapiro-Wilk run."
"BT1","1","1h","time_in_last_flux","time_in_last_flux",16,0.952480007299995,0.529968182244129,"Shapiro-Wilk run."
"BT2","1","1h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","1h","time_in_last_flux","time_in_last_flux",15,0.871960438157882,0.0360569039977773,"Shapiro-Wilk run."
"BT1","0","24h","time_in_last_flux","time_in_last_flux",15,0.887972004202171,0.062491701071329,"Shapiro-Wilk run."
"BT2","0","24h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","24h","time_in_last_flux","time_in_last_flux",15,0.928180152078223,0.256267206243788,"Shapiro-Wilk run."
"BT1","0.5","24h","time_in_last_flux","time_in_last_flux",15,0.896365207760694,0.0837674610954318,"Shapiro-Wilk run."
"BT2","0.5","24h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","24h","time_in_last_flux","time_in_last_flux",14,0.917763462710508,0.204166444421668,"Shapiro-Wilk run."
"BT1","1","24h","time_in_last_flux","time_in_last_flux",14,0.964479568413345,0.79556709965883,"Shapiro-Wilk run."
"BT2","1","24h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","24h","time_in_last_flux","time_in_last_flux",12,0.846434029354682,0.0331822948696741,"Shapiro-Wilk run."
"BT1","0","96h","time_in_last_flux","time_in_last_flux",16,0.894154542425102,0.0648314289742982,"Shapiro-Wilk run."
"BT2","0","96h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0","96h","time_in_last_flux","time_in_last_flux",16,0.907938588435105,0.10780110127301,"Shapiro-Wilk run."
"BT1","0.5","96h","time_in_last_flux","time_in_last_flux",16,0.938109984252706,0.326504613530056,"Shapiro-Wilk run."
"BT2","0.5","96h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","0.5","96h","time_in_last_flux","time_in_last_flux",16,0.930283128927313,0.246321408428041,"Shapiro-Wilk run."
"BT1","1","96h","time_in_last_flux","time_in_last_flux",14,0.932123049830253,0.326705832972505,"Shapiro-Wilk run."
"BT2","1","96h","time_in_last_flux","time_in_last_flux",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT3","1","96h","time_in_last_flux","time_in_last_flux",15,0.924314170498075,0.224048636159958,"Shapiro-Wilk run."
"BT1","0","1h","vel_mean","vel_mean",14,0.95849525440348,0.698245988301037,"Shapiro-Wilk run."
"BT2","0","1h","vel_mean","vel_mean",16,0.953366507922356,0.544823543195441,"Shapiro-Wilk run."
"BT3","0","1h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","1h","vel_mean","vel_mean",16,0.697234285742789,0.000157338954887898,"Shapiro-Wilk run."
"BT2","0.5","1h","vel_mean","vel_mean",16,0.833629259232445,0.00789621824522299,"Shapiro-Wilk run."
"BT3","0.5","1h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","1h","vel_mean","vel_mean",16,0.926613177239024,0.215345848292206,"Shapiro-Wilk run."
"BT2","1","1h","vel_mean","vel_mean",16,0.893084211012671,0.0623407275448242,"Shapiro-Wilk run."
"BT3","1","1h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","24h","vel_mean","vel_mean",15,0.856499753686726,0.0214923089376833,"Shapiro-Wilk run."
"BT2","0","24h","vel_mean","vel_mean",16,0.968743852667914,0.817872024626281,"Shapiro-Wilk run."
"BT3","0","24h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","24h","vel_mean","vel_mean",15,0.953368382562913,0.578972606390945,"Shapiro-Wilk run."
"BT2","0.5","24h","vel_mean","vel_mean",15,0.86278985983006,0.0264822844080156,"Shapiro-Wilk run."
"BT3","0.5","24h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","24h","vel_mean","vel_mean",14,0.967518899831595,0.841826370221181,"Shapiro-Wilk run."
"BT2","1","24h","vel_mean","vel_mean",12,0.976036963144993,0.962748502789725,"Shapiro-Wilk run."
"BT3","1","24h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","96h","vel_mean","vel_mean",16,0.923123291873613,0.189352358240928,"Shapiro-Wilk run."
"BT2","0","96h","vel_mean","vel_mean",16,0.932895281148497,0.270844196325142,"Shapiro-Wilk run."
"BT3","0","96h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0.5","96h","vel_mean","vel_mean",16,0.974616972364629,0.906697216325376,"Shapiro-Wilk run."
"BT2","0.5","96h","vel_mean","vel_mean",16,0.895166081986009,0.0672799835907813,"Shapiro-Wilk run."
"BT3","0.5","96h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","1","96h","vel_mean","vel_mean",14,0.948371115421306,0.535714722506918,"Shapiro-Wilk run."
"BT2","1","96h","vel_mean","vel_mean",16,0.887086666599336,0.0501064009209345,"Shapiro-Wilk run."
"BT3","1","96h","vel_mean","vel_mean",0,NA,NA,"n < 3; Shapiro-Wilk not run."
"BT1","0","1h","weight","wt",14,0.957178253448704,0.676474578121302,"Shapiro-Wilk run."
"BT2","0","1h","weight","wt",15,0.94433647238919,0.440030995794123,"Shapiro-Wilk run."
"BT3","0","1h","weight","wt",16,0.955740542452789,0.58565155978486,"Shapiro-Wilk run."
"BT1","0.5","1h","weight","wt",16,0.931706023813206,0.259413662151623,"Shapiro-Wilk run."
"BT2","0.5","1h","weight","wt",16,0.93311336306843,0.272989528526212,"Shapiro-Wilk run."
"BT3","0.5","1h","weight","wt",16,0.917560429426885,0.154090135379003,"Shapiro-Wilk run."
"BT1","1","1h","weight","wt",16,0.945739011576598,0.425323895470418,"Shapiro-Wilk run."
"BT2","1","1h","weight","wt",16,0.88214149506579,0.0419080757001839,"Shapiro-Wilk run."
"BT3","1","1h","weight","wt",15,0.883446859302848,0.0534260819482733,"Shapiro-Wilk run."
"BT1","0","24h","weight","wt",15,0.784609530512513,0.00234886169352111,"Shapiro-Wilk run."
"BT2","0","24h","weight","wt",16,0.910486327686155,0.118490814265744,"Shapiro-Wilk run."
"BT3","0","24h","weight","wt",15,0.87243911467635,0.0366473529614142,"Shapiro-Wilk run."
"BT1","0.5","24h","weight","wt",15,0.88162043412507,0.0501649265173058,"Shapiro-Wilk run."
"BT2","0.5","24h","weight","wt",15,0.816256674122638,0.00598937679949453,"Shapiro-Wilk run."
"BT3","0.5","24h","weight","wt",14,0.937571225289761,0.388088450005888,"Shapiro-Wilk run."
"BT1","1","24h","weight","wt",14,0.980948497248045,0.979931092432121,"Shapiro-Wilk run."
"BT2","1","24h","weight","wt",12,0.958387750485869,0.760589592533383,"Shapiro-Wilk run."
"BT3","1","24h","weight","wt",12,0.648445871619709,0.000280584085896795,"Shapiro-Wilk run."
"BT1","0","96h","weight","wt",16,0.843976185296887,0.0111229677658205,"Shapiro-Wilk run."
"BT2","0","96h","weight","wt",16,0.879234820659413,0.0377552360279251,"Shapiro-Wilk run."
"BT3","0","96h","weight","wt",16,0.899569691391942,0.0791039723921087,"Shapiro-Wilk run."
"BT1","0.5","96h","weight","wt",16,0.92254291303313,0.185333679658378,"Shapiro-Wilk run."
"BT2","0.5","96h","weight","wt",16,0.92082684840582,0.17392997812508,"Shapiro-Wilk run."
"BT3","0.5","96h","weight","wt",16,0.924006798633574,0.195632212451089,"Shapiro-Wilk run."
"BT1","1","96h","weight","wt",14,0.903761606361552,0.127900901474627,"Shapiro-Wilk run."
"BT2","1","96h","weight","wt",15,0.890423896375409,0.0680567801819152,"Shapiro-Wilk run."
"BT3","1","96h","weight","wt",15,0.897219411300469,0.0863154454332979,"Shapiro-Wilk run."
